arm,seed,trajectory,world,start_step,end_step,optimizer_updates,final_rank_state_sha256,consumption_sha256,pass
G_to_L,6,full,2,0,4,4,08addc3a20aac9c1da4f0384547dd7192ec1e471da06059a6e1b4a19790b430b,11a2959f7738b57b71b31e7c5916ab3bc6fee66d3ca80462ffff7ce94aa3483b,True
G_to_L,6,prefix2,2,0,2,2,488c712b8a9481b83e032155a3a829f5f2f3f56b4dc3ae009ca0a59a3b189111,a7fc4e5cdd8a61aa983054eeb8892eaf74c01bc24f6ae4ab2d364c8ad55dac1c,True
G_to_L,6,resume2,2,2,4,2,08addc3a20aac9c1da4f0384547dd7192ec1e471da06059a6e1b4a19790b430b,36c5027af249735be7fbff344987b25290becc5362e068ab5c719547d76c5e28,True
G_to_L,6,prefix3,2,0,3,3,a1c1828a49eeeb6dd81bcec268a59eed68153e7d77e38810154c5af2e6f285bc,9ca62b79e276a94cd6535a505c1e79f4842a0c6f9f3fa17f185dbfbd392f7bd6,True
G_to_L,6,resume3,2,3,4,1,08addc3a20aac9c1da4f0384547dd7192ec1e471da06059a6e1b4a19790b430b,4f33c1301a6870f4e34719aacb37913f3ac499e4df3d30f507b3607f3f7d745b,True
Ghash_to_L,6,full,2,0,4,4,c834d1b139ba61cdf407605d8e29d29a12b4802e92ba6b6e61240827ac176103,3e13bbd4f60a304357e62ea61bf805918cd8241111b59b30a16807e93ba799e6,True
Ghash_to_L,6,prefix2,2,0,2,2,cdb04ce63b76cfeacc8cff2e461bd6d2de5a4d679be84e3976bafd9a31235f86,738175580e28b2d205cf71f314901ab7b65bda17b79ec37629fdfa94a55db399,True
Ghash_to_L,6,resume2,2,2,4,2,c834d1b139ba61cdf407605d8e29d29a12b4802e92ba6b6e61240827ac176103,62b40e550895d7d0e5bafc1eb422c146b8a4754c2b9ef73d27fd378ef59a9414,True
Ghash_to_L,6,prefix3,2,0,3,3,2d328f2a094282f3fe69d5d977b17fcb31e97e0966b4bfdde0706c1a73d12e83,a56c2bb2a03ca1a6b4179a936379d590a86e34c0eaa2c7e10db60aeae5984368,True
Ghash_to_L,6,resume3,2,3,4,1,c834d1b139ba61cdf407605d8e29d29a12b4802e92ba6b6e61240827ac176103,a4cbf75882a32d84703382ce9527ae4561a0642db3f61fa5e9534d3783390904,True
