task,alpha,calibration_runs,rank,threshold_available,threshold_utility
chaii-hindi-and-tamil-question-answering,0.05,12,13,0,
chaii-hindi-and-tamil-question-answering,0.1,12,12,1,0.74955
chaii-hindi-and-tamil-question-answering,0.2,12,11,1,0.73557
denoising-dirty-documents,0.05,28,28,1,-0.00925
denoising-dirty-documents,0.1,28,27,1,-0.0102
denoising-dirty-documents,0.2,28,24,1,-0.01107
google-quest-challenge,0.05,12,13,0,
google-quest-challenge,0.1,12,12,1,0.43136
google-quest-challenge,0.2,12,11,1,0.43094
kuzushiji-recognition,0.05,9,10,0,
kuzushiji-recognition,0.1,9,9,1,0.85682
kuzushiji-recognition,0.2,9,8,1,0.846
leaf-classification,0.05,25,25,1,-0.0
leaf-classification,0.1,25,24,1,-0.0
leaf-classification,0.2,25,21,1,-0.00203
learning-agency-lab-automated-essay-scoring-2,0.05,18,19,0,
learning-agency-lab-automated-essay-scoring-2,0.1,18,18,1,0.85476
learning-agency-lab-automated-essay-scoring-2,0.2,18,16,1,0.84554
mlsp-2013-birds,0.05,22,22,1,0.95345
mlsp-2013-birds,0.1,22,21,1,0.95189
mlsp-2013-birds,0.2,22,19,1,0.94957
nomad2018-predict-transparent-conductors,0.05,28,28,1,-0.04924
nomad2018-predict-transparent-conductors,0.1,28,27,1,-0.04995
nomad2018-predict-transparent-conductors,0.2,28,24,1,-0.0505
petfinder-pawpularity-score,0.05,37,37,1,-16.84947
petfinder-pawpularity-score,0.1,37,35,1,-17.11502
petfinder-pawpularity-score,0.2,37,31,1,-17.23887
random-acts-of-pizza,0.05,20,20,1,0.79669
random-acts-of-pizza,0.1,20,19,1,0.79259
random-acts-of-pizza,0.2,20,17,1,0.78166
spaceship-titanic,0.05,19,19,1,0.82759
spaceship-titanic,0.1,19,18,1,0.82759
spaceship-titanic,0.2,19,16,1,0.82529
spooky-author-identification,0.05,44,43,1,-0.22328
spooky-author-identification,0.1,44,41,1,-0.22426
spooky-author-identification,0.2,44,36,1,-0.26351
tabular-playground-series-dec-2021,0.05,61,59,1,0.96343
tabular-playground-series-dec-2021,0.1,61,56,1,0.96322
tabular-playground-series-dec-2021,0.2,61,50,1,0.96293
tabular-playground-series-may-2022,0.05,65,63,1,0.99657
tabular-playground-series-may-2022,0.1,65,60,1,0.99572
tabular-playground-series-may-2022,0.2,65,53,1,0.99461
text-normalization-challenge-english-language,0.05,9,10,0,
text-normalization-challenge-english-language,0.1,9,9,1,0.99391
text-normalization-challenge-english-language,0.2,9,8,1,0.99367
text-normalization-challenge-russian-language,0.05,9,10,0,
text-normalization-challenge-russian-language,0.1,9,9,1,0.98562
text-normalization-challenge-russian-language,0.2,9,8,1,0.98442
tweet-sentiment-extraction,0.05,8,9,0,
tweet-sentiment-extraction,0.1,8,9,0,
tweet-sentiment-extraction,0.2,8,8,1,0.71937
us-patent-phrase-to-phrase-matching,0.05,12,13,0,
us-patent-phrase-to-phrase-matching,0.1,12,12,1,0.8656
us-patent-phrase-to-phrase-matching,0.2,12,11,1,0.86505
whale-categorization-playground,0.05,9,10,0,
whale-categorization-playground,0.1,9,9,1,0.48331
whale-categorization-playground,0.2,9,8,1,0.46363
