task,stratum,parents,runs,tasks,status_winners,materializable_status_winners,materializable_status_winner_rate_all_parents,code_complete_share_of_status_winners,candidate_slots,variable_arity_materializable_winners,variable_arity_share
aptos2019-blindness-detection,aptos2019-blindness-detection,64,4,1,64,64,1.0,1.0,128,0,0.0
chaii-hindi-and-tamil-question-answering,chaii-hindi-and-tamil-question-answering,141,15,1,132,132,0.9361702127659575,1.0,458,132,1.0
denoising-dirty-documents,denoising-dirty-documents,102,25,1,100,100,0.9803921568627451,1.0,254,18,0.18
dog-breed-identification,dog-breed-identification,84,18,1,80,80,0.9523809523809523,1.0,185,11,0.1375
dogs-vs-cats-redux-kernels-edition,dogs-vs-cats-redux-kernels-edition,16,4,1,16,16,1.0,1.0,32,0,0.0
google-quest-challenge,google-quest-challenge,58,15,1,58,58,1.0,1.0,116,0,0.0
histopathologic-cancer-detection,histopathologic-cancer-detection,70,11,1,70,70,1.0,1.0,140,0,0.0
kuzushiji-recognition,kuzushiji-recognition,14,5,1,14,14,1.0,1.0,28,0,0.0
leaf-classification,leaf-classification,255,31,1,236,235,0.9215686274509803,0.9957627118644068,728,235,1.0
learning-agency-lab-automated-essay-scoring-2,learning-agency-lab-automated-essay-scoring-2,37,16,1,21,21,0.5675675675675675,1.0,56,14,0.6666666666666666
mlsp-2013-birds,mlsp-2013-birds,116,26,1,81,81,0.6982758620689655,1.0,379,81,1.0
nomad2018-predict-transparent-conductors,nomad2018-predict-transparent-conductors,81,21,1,74,74,0.9135802469135802,1.0,283,45,0.6081081081081081
petfinder-pawpularity-score,petfinder-pawpularity-score,255,42,1,233,233,0.9137254901960784,1.0,674,190,0.8154506437768241
random-acts-of-pizza,random-acts-of-pizza,327,31,1,307,307,0.9388379204892966,1.0,771,139,0.4527687296416938
spaceship-titanic,spaceship-titanic,26,16,1,11,11,0.4230769230769231,1.0,60,11,1.0
spooky-author-identification,spooky-author-identification,670,40,1,602,602,0.8985074626865671,1.0,1810,595,0.9883720930232558
tabular-playground-series-dec-2021,tabular-playground-series-dec-2021,29,21,1,25,25,0.8620689655172413,1.0,60,10,0.4
tabular-playground-series-may-2022,tabular-playground-series-may-2022,90,49,1,61,61,0.6777777777777778,1.0,231,39,0.639344262295082
text-normalization-challenge-english-language,text-normalization-challenge-english-language,26,4,1,26,26,1.0,1.0,52,0,0.0
text-normalization-challenge-russian-language,text-normalization-challenge-russian-language,117,12,1,117,117,1.0,1.0,234,0,0.0
tweet-sentiment-extraction,tweet-sentiment-extraction,74,6,1,74,74,1.0,1.0,150,1,0.013513513513513514
us-patent-phrase-to-phrase-matching,us-patent-phrase-to-phrase-matching,357,13,1,357,357,1.0,1.0,714,0,0.0
whale-categorization-playground,whale-categorization-playground,243,15,1,242,242,0.9958847736625515,1.0,484,0,0.0
