split,subset,task,pairs,accuracy
dev,merged,aptos2019-blindness-detection,2,0.0
dev,merged,chaii-hindi-and-tamil-question-answering,6,1.0
dev,merged,denoising-dirty-documents,19,0.47368421052631576
dev,merged,dog-breed-identification,46,0.5652173913043478
dev,merged,dogs-vs-cats-redux-kernels-edition,12,0.4166666666666667
dev,merged,google-quest-challenge,19,0.5789473684210527
dev,merged,histopathologic-cancer-detection,3,0.6666666666666666
dev,merged,kuzushiji-recognition,4,0.25
dev,merged,leaf-classification,27,0.4444444444444444
dev,merged,learning-agency-lab-automated-essay-scoring-2,41,0.7804878048780488
dev,merged,mlsp-2013-birds,31,0.45161290322580644
dev,merged,new-york-city-taxi-fare-prediction,9,0.6666666666666666
dev,merged,nomad2018-predict-transparent-conductors,24,0.4166666666666667
dev,merged,petfinder-pawpularity-score,31,0.6129032258064516
dev,merged,random-acts-of-pizza,16,0.5
dev,merged,ranzcr-clip-catheter-line-classification,22,0.5909090909090909
dev,merged,spooky-author-identification,36,0.8055555555555556
dev,merged,tabular-playground-series-dec-2021,21,0.7619047619047619
dev,merged,tabular-playground-series-may-2022,19,0.47368421052631576
dev,merged,text-normalization-challenge-english-language,6,0.3333333333333333
dev,merged,text-normalization-challenge-russian-language,14,0.5
dev,merged,tweet-sentiment-extraction,8,0.75
dev,merged,us-patent-phrase-to-phrase-matching,21,0.7619047619047619
dev,merged,ventilator-pressure-prediction,81,0.6419753086419753
dev,merged,whale-categorization-playground,33,0.6666666666666666
dev,Draft,aptos2019-blindness-detection,1,0.0
dev,Draft,chaii-hindi-and-tamil-question-answering,6,1.0
dev,Draft,denoising-dirty-documents,7,0.42857142857142855
dev,Draft,dog-breed-identification,27,0.48148148148148145
dev,Draft,dogs-vs-cats-redux-kernels-edition,3,0.6666666666666666
dev,Draft,google-quest-challenge,3,0.6666666666666666
dev,Draft,histopathologic-cancer-detection,1,0.0
dev,Draft,kuzushiji-recognition,3,0.3333333333333333
dev,Draft,leaf-classification,3,1.0
