name	size	sha256
dogs-vs-cats-redux-kernels-edition-4seeds.tar.gz	7662703	8ac3a00487e00c178d1236547204a789c7d4fe8d993c6d977ea067d296ba11a6
learning-agency-lab-automated-essay-scoring-2-4seeds.tar.gz	8531969	2c15affceaed393e65c397bf0a022f2f15b33f6b3e50ea4f2cb280e2da86a6d3
learning-agency-lab-automated-essay-scoring-2-8seeds.tar.gz	52341032	8079b27158912dd12ea2f885525a110ad32101bb58e090852b0f0d98578f0f0b
new-york-city-taxi-fare-prediction-8seeds.tar.gz	16957116	43284dc6be642544b0bd056d6aa9e95a309309fa8ce3e414eb0a904d90c3bdd8
random-acts-of-pizza-4seeds.tar.gz	27373282	1b350f76bf02f23eaa3f6395b16c2272e3332c836652e1ee75f0e8f1a23e953c
ranzcr-clip-catheter-line-classification-8seeds.tar.gz	19812296	03b8c8dd705ba91c9b0ca26bb3f17b249de2d579017017aded86b6cd1dfc3b5b
tabular-playground-series-dec-2021-4seeds.tar.gz	6348983	4da282f301dc75e50e8536a3d06e88b7261e9ab680ebc866020c119a5a8ed1d5
text-normalization-challenge-russian-language-8seeds.tar.gz	32664211	0894aa4fb068d2a5144f7c4b5ba650c74929009d62063594cce56f95a98e8771
tweet-sentiment-extraction-4seeds.tar.gz	10467833	08194a2b4b65fa5f4997f5429da90a4d8b3746fe0f77e97ac622849a43861f46
us-patent-phrase-to-phrase-matching-8seeds.tar.gz	27656990	3a4d80dcc099d00258c74d81f36c5d6c1f874858c7c01c54596fccf7032b5d30
