task,official_solutions,official_pairs,official_possible_unordered_pairs,official_pair_graph_coverage,official_hard_lt_1e2_share,official_median_gap,official_trajectory_parseable_pairs,official_same_trajectory_share,our_pairs,our_hard_lt_1e2_share,our_median_gap,common_task
aptos2019-blindness-detection,50,1216,1225,0.9926530612244898,0.18585526315789475,0.031000000000000028,1216,0.14144736842105263,19,0.6842105263157895,0.00693,True
chaii-hindi-and-tamil-question-answering,0,0,0,nan,nan,nan,0,nan,44,0.13636363636363635,0.03988,False
denoising-dirty-documents,45,971,990,0.9808080808080808,0.11122554067971163,0.071,971,0.06488156539649846,16,0.25,0.052185,True
detecting-insults-in-social-commentary,27,349,351,0.9943019943019943,0.4584527220630373,0.012599999999999945,349,1.0,0,nan,nan,False
dog-breed-identification,3,3,3,1.0,0.0,12.9825,3,0.0,44,0.29545454545454547,0.038895,True
google-quest-challenge,50,1221,1225,0.996734693877551,0.07371007371007371,0.0806,1221,0.11711711711711711,13,0.38461538461538464,0.03196,True
histopathologic-cancer-detection,0,0,0,nan,nan,nan,0,nan,19,0.8421052631578947,0.00078,False
jigsaw-toxic-comment-classification-challenge,5,10,10,1.0,0.6,0.0009500000000000064,10,1.0,0,nan,nan,False
kuzushiji-recognition,0,0,0,nan,nan,nan,0,nan,5,0.2,0.02383,False
leaf-classification,17,135,136,0.9926470588235294,0.022222222222222223,0.4052,135,1.0,183,0.1366120218579235,0.1103,True
learning-agency-lab-automated-essay-scoring-2,20,190,190,1.0,0.07368421052631578,0.14079999999999998,190,0.7315789473684211,8,0.375,0.01165,True
lmsys-chatbot-arena,50,1215,1225,0.9918367346938776,0.10452674897119342,0.047499999999999876,1215,0.0823045267489712,0,nan,nan,False
mlsp-2013-birds,50,1217,1225,0.9934693877551021,0.056696795398520954,0.10189999999999999,1217,0.07888249794576828,85,0.3411764705882353,0.02067,True
new-york-city-taxi-fare-prediction,30,417,435,0.9586206896551724,0.009592326139088728,0.8407,417,0.07194244604316546,0,nan,nan,False
nomad2018-predict-transparent-conductors,3,3,3,1.0,1.0,0.004899999999999995,3,1.0,26,0.5769230769230769,0.005315,True
petfinder-pawpularity-score,30,159,435,0.36551724137931035,0.15723270440251572,0.7773000000000003,159,0.3018867924528302,63,0.015873015873015872,0.26769,True
plant-pathology-2020-fgvc7,6,15,15,1.0,0.0,0.0868000000000001,15,0.26666666666666666,0,nan,nan,False
predict-volcanic-eruptions-ingv-oe,50,1215,1225,0.9918367346938776,0.0016460905349794238,7736124.0,1215,0.18930041152263374,0,nan,nan,False
random-acts-of-pizza,50,1223,1225,0.9983673469387755,0.13327882256745707,0.04820000000000002,1223,0.10793131643499591,32,0.28125,0.044289999999999996,True
spaceship-titanic,0,0,0,nan,nan,nan,0,nan,1,0.0,0.02184,False
spooky-author-identification,50,1221,1225,0.996734693877551,0.03357903357903358,0.17719999999999997,1221,0.08517608517608517,610,0.6885245901639344,0.00187,True
stanford-covid-vaccine,50,1219,1225,0.9951020408163266,0.10992616899097621,0.18450000000000005,1219,0.08613617719442165,0,nan,nan,False
statoil-iceberg-classifier-challenge,50,1222,1225,0.9975510204081632,0.046644844517184945,0.17305,1222,0.07692307692307693,0,nan,nan,False
tabular-playground-series-dec-2021,24,266,276,0.9637681159420289,0.8082706766917294,0.0030000000000000027,266,0.34210526315789475,4,1.0,0.000355,True
tabular-playground-series-may-2022,0,0,0,nan,nan,nan,0,nan,81,0.5802469135802469,0.00795,False
tensorflow-speech-recognition-challenge,46,1003,1035,0.9690821256038648,0.038883349950149554,0.17459999999999998,1003,0.10568295114656032,0,nan,nan,False
text-normalization-challenge-english-language,0,0,0,nan,nan,nan,0,nan,9,0.7777777777777778,0.00206,False
text-normalization-challenge-russian-language,0,0,0,nan,nan,nan,0,nan,15,1.0,0.00203,False
tgs-salt-identification-challenge,44,945,946,0.9989429175475687,0.0835978835978836,0.20440000000000003,945,0.17777777777777778,0,nan,nan,False
the-icml-2013-whale-challenge-right-whale-redux,24,276,276,1.0,0.050724637681159424,0.1356,276,0.48188405797101447,0,nan,nan,False
tweet-sentiment-extraction,21,210,210,1.0,0.319047619047619,0.02404999999999996,210,1.0,34,0.8235294117647058,0.00376,True
us-patent-phrase-to-phrase-matching,50,1220,1225,0.9959183673469387,0.0860655737704918,0.16310000000000002,1220,0.09508196721311475,20,0.3,0.036155,True
ventilator-pressure-prediction,50,1220,1225,0.9959183673469387,0.01557377049180328,0.64545,1220,0.10819672131147541,0,nan,nan,False
whale-categorization-playground,0,0,0,nan,nan,nan,0,nan,167,0.5029940119760479,0.00999,False
