role,task,run_id,parent,source_children,finite_children,published_unique_edges,status_target_children,status_certified_invalid_children,unknown_status_children,unregistered_missing_slots,validity_dominance_edges,certified_relations,unresolved_relations,source_pair_capacity,published_coverage,certified_coverage,coverage_gain,lost_relation_recovery
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__0f280e733f534de796b24d599f582c75,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__2928fc16fcb9449e93a1fe257b67a335,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__3623896664eb40fea6d700a35eea795d,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__376fc4ae37454b1fa0921c313f5d9863,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__51eab63676624a61a4f878319fa2dafa,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__53f3e1d390c04a878e58acdfe741dcc0,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__5d2d163173cd4ac69154fe30b7d0eeb9,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__837b72c6f3514a5cbc5970d08ea33623,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__8955d9ca2a1c4d919f238911d7ed9a37,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__bda6291b230643758c17c033f8603b43,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,aptos2019-blindness-detection,cards_senior_0810.jsonl:17,aptos2019-blindness-detection__c6f4af111bd24d4d825334e5cf7181ec,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
extension,dogs-vs-cats-redux-kernels-edition,cards_senior_0811.jsonl:2,dogs-vs-cats-redux-kernels-edition__3581a3e6b81644298fd4ffb1c0503c88,2,2,1,0,0,0,0,0,1,0,1,1,1,0,
