parent,run_id,task,stratum,censor_survival,observed_survival,structured_random_survival,delta_vs_observed,delta_vs_random
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,1.0,1.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,1.0,1.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,1.0,1.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,1.0,1.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,1.0,1.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,1.0,1.0,0.5,0.0,0.5
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,easy,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__dee39489ceb240ffabbd9e9f3e2deb47,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__e8ac693c1f134f9fbede2c6e3b7605cf,cards_senior_0804.jsonl:24,denoising-dirty-documents,easy,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__ec447d8baa434d0faf493d69c4e88a48,cards_senior_0727.jsonl:16,denoising-dirty-documents,hard,1.0,1.0,1.0,0.0,0.0
denoising-dirty-documents__fa4eee2f776a44efb0fe1e4e15339553,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,1.0,1.0,1.0,0.0,0.0
google-quest-challenge__09e3c19539104671ae6c7ac3d25ba513,cards_senior_0806.jsonl:8,google-quest-challenge,easy,1.0,1.0,1.0,0.0,0.0
google-quest-challenge__54d5e9cda21a4099a4d5c8a5900b642d,cards_senior_0731.jsonl:8,google-quest-challenge,hard,1.0,1.0,1.0,0.0,0.0
google-quest-challenge__59d05421af854a3ebf13a049f852fca7,cards_senior_0731.jsonl:8,google-quest-challenge,easy,1.0,0.0,1.0,1.0,0.0
google-quest-challenge__5bbb739e789e4195ab45d5c9d9e4ef0e,cards_senior_0731.jsonl:8,google-quest-challenge,easy,1.0,0.0,1.0,1.0,0.0
google-quest-challenge__9c121e84fa5a451e87b48f608b215dd4,cards_senior_0731.jsonl:8,google-quest-challenge,hard,1.0,1.0,1.0,0.0,0.0
google-quest-challenge__9f74747856c543728a41fbad7c6faf26,cards_senior_0731.jsonl:8,google-quest-challenge,hard,1.0,1.0,1.0,0.0,0.0
google-quest-challenge__af65cdfcccea47739bbbd7014fb7f5d6,cards_senior_0731.jsonl:8,google-quest-challenge,hard,1.0,1.0,1.0,0.0,0.0
kuzushiji-recognition__121ed223cdb04e059635cad9a797bd87,cards_senior_0806.jsonl:13,kuzushiji-recognition,easy,1.0,1.0,1.0,0.0,0.0
kuzushiji-recognition__4dd7be980ff84ddba2cf9058c2885427,cards_senior_0804.jsonl:10,kuzushiji-recognition,hard,1.0,1.0,1.0,0.0,0.0
kuzushiji-recognition__ad92a6e36fda4465b4ac7e307e5a71cb,cards_senior_0806.jsonl:13,kuzushiji-recognition,easy,1.0,1.0,1.0,0.0,0.0
kuzushiji-recognition__eeaa6bfc07634ea58702ac333e168a6a,cards_senior_0804.jsonl:10,kuzushiji-recognition,easy,1.0,1.0,1.0,0.0,0.0
leaf-classification__239c7e7b1c754e3c964e2a79deca5005,cards_senior_0808.jsonl:34,leaf-classification,hard,1.0,1.0,0.33333333333333337,0.0,0.6666666666666666
leaf-classification__3c164f72f3244432b38a52ea18357921,cards_senior_0808.jsonl:34,leaf-classification,hard,1.0,1.0,1.0,0.0,0.0
leaf-classification__6ab44b6035424b84aa5f92009d7da965,cards_senior_0808.jsonl:34,leaf-classification,easy,1.0,1.0,0.5,0.0,0.5
leaf-classification__abd955fe1fad4d7a9b4bac2c62a6b1ae,cards_senior_0808.jsonl:34,leaf-classification,easy,1.0,1.0,0.5,0.0,0.5
leaf-classification__f0411bcb7c8d46b38b6395c0a137f9fd,cards_senior_0808.jsonl:34,leaf-classification,hard,1.0,1.0,0.33333333333333337,0.0,0.6666666666666666
leaf-classification__fc1a4fb5b3cd4cedafd1b81e84071adf,cards_senior_0808.jsonl:33,leaf-classification,easy,1.0,1.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__507578e20ae54b25bdde6dc425eafa7d,cards_senior_0803.jsonl:3,learning-agency-lab-automated-essay-scoring-2,easy,1.0,1.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__77aac523f90d4cf5afe2eaa03733a189,cards_senior_0803.jsonl:6,learning-agency-lab-automated-essay-scoring-2,hard,1.0,1.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__bfdd0bd143fd4cb4ab9357441b7b4d6f,cards_senior_0808.jsonl:8,learning-agency-lab-automated-essay-scoring-2,easy,1.0,1.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__d7d7b2c80bc34005a0fec4fc67053498,cards_senior_0803.jsonl:3,learning-agency-lab-automated-essay-scoring-2,hard,1.0,1.0,0.5,0.0,0.5
learning-agency-lab-automated-essay-scoring-2__dcadeabb3745444b84238b4e3b4bf557,cards_senior_0803.jsonl:6,learning-agency-lab-automated-essay-scoring-2,hard,1.0,1.0,1.0,0.0,0.0
learning-agency-lab-automated-essay-scoring-2__e98c27a1655f4bbda2fc621ba07c232c,cards_senior_0803.jsonl:3,learning-agency-lab-automated-essay-scoring-2,easy,0.0,0.0,0.5,0.0,-0.5
mlsp-2013-birds__2d82d79adb47473e907e8f34ad15cdb2,cards_senior_0802.jsonl:4,mlsp-2013-birds,hard,1.0,0.0,1.0,1.0,0.0
mlsp-2013-birds__35246c86f5b347e18d24e0558af31250,cards_senior_0802.jsonl:4,mlsp-2013-birds,hard,0.0,0.0,0.5,0.0,-0.5
mlsp-2013-birds__5c488535319e494c9944773f9016d969,cards_senior_0726.jsonl:10,mlsp-2013-birds,easy,1.0,1.0,0.5,0.0,0.5
mlsp-2013-birds__90f132b316fa4cf98cf1e5efee710b89,cards_senior_0728.jsonl:18,mlsp-2013-birds,easy,1.0,1.0,1.0,0.0,0.0
