task,model_family,release_run,model_token,temperature_token,timestamp,size,oid,path
aptos2019-blindness-detection,deepseek,1,deepseek-reasoner,0p0,20251205_214840,12473965,109c05d635293f0793fcdfc948c0dfe7f179fb62,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
aptos2019-blindness-detection,deepseek,2,deepseek-reasoner,0p0,20251209_135057,12624650,141e92bee4b0aca0d55a78a955cede160e600ce9,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
aptos2019-blindness-detection,deepseek,3,deepseek-reasoner,1p0,20251209_164656,12595438,c436967de02592e21b9fb32913813ba098a63e0b,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
aptos2019-blindness-detection,gpt,1,gpt-5_1,1p0,20251210_154406,4757079,ddb4a997f6cc9416fa2365113931355d3db869f5,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
aptos2019-blindness-detection,gpt,2,gpt-5_1,1p0,20251211_161746,4047163,5f2f7103c93e6e81741e9bfdd5eeeb606f2945a6,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
aptos2019-blindness-detection,gpt,3,gpt-5_1,1p0,20251211_171620,4056702,7a3dd1061b12ae33439b876540358a6aa92c9601,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
denoising-dirty-documents,deepseek,1,deepseek-reasoner,0p0,20251205_214840,12929120,97395f4c80db43d2fe13d8acaa9236b54e645569,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json
denoising-dirty-documents,deepseek,2,deepseek-reasoner,0p0,20251209_135057,13112656,675c90d77fc719690ee4d674e8d100e2e3d26446,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
denoising-dirty-documents,deepseek,3,deepseek-reasoner,1p0,20251209_164656,13187634,31487c80b89ec0ad9c6ca0e66262f03b80306733,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
denoising-dirty-documents,gpt,1,gpt-5_1,1p0,20251210_154406,4520137,68f4897604b3d15997f422ad571f7069cb81fbf4,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
