task,policy,sets,runs,top1,artifact_coverage
chaii-hindi-and-tamil-question-answering,random,7,4,0.40476190476190477,0.07142857142857142
chaii-hindi-and-tamil-question-answering,full_external,7,4,1.0,0.07142857142857142
chaii-hindi-and-tamil-question-answering,full_self_report_available,7,4,0.5,0.07142857142857142
chaii-hindi-and-tamil-question-answering,full_self_report_complete,5,2,0.4,0.0
chaii-hindi-and-tamil-question-answering,sub120_available,7,4,0.47619047619047616,0.07142857142857142
chaii-hindi-and-tamil-question-answering,artifact120_escalate_silent,7,4,1.0,0.07142857142857142
denoising-dirty-documents,random,8,5,0.5,0.0
denoising-dirty-documents,full_external,8,5,1.0,0.0
denoising-dirty-documents,full_self_report_available,8,5,1.0,0.0
denoising-dirty-documents,full_self_report_complete,6,3,1.0,0.0
denoising-dirty-documents,sub120_available,8,5,0.5,0.0
denoising-dirty-documents,artifact120_escalate_silent,8,5,1.0,0.0
google-quest-challenge,random,7,2,0.5,0.0
google-quest-challenge,full_external,7,2,1.0,0.0
google-quest-challenge,full_self_report_available,7,2,0.7142857142857143,0.0
google-quest-challenge,full_self_report_complete,5,2,0.6,0.0
google-quest-challenge,sub120_available,7,2,0.5,0.0
google-quest-challenge,artifact120_escalate_silent,7,2,1.0,0.0
kuzushiji-recognition,random,4,2,0.5,0.0
kuzushiji-recognition,full_external,4,2,1.0,0.0
kuzushiji-recognition,full_self_report_available,4,2,1.0,0.0
kuzushiji-recognition,full_self_report_complete,4,2,1.0,0.0
kuzushiji-recognition,sub120_available,4,2,0.5,0.0
kuzushiji-recognition,artifact120_escalate_silent,4,2,1.0,0.0
leaf-classification,random,6,2,0.4722222222222222,0.41666666666666663
leaf-classification,full_external,6,2,1.0,0.41666666666666663
leaf-classification,full_self_report_available,6,2,0.5,0.41666666666666663
leaf-classification,full_self_report_complete,5,2,0.6,0.43333333333333335
leaf-classification,sub120_available,6,2,0.4166666666666667,0.41666666666666663
leaf-classification,artifact120_escalate_silent,6,2,1.0,0.41666666666666663
learning-agency-lab-automated-essay-scoring-2,random,6,3,0.4722222222222222,0.0
learning-agency-lab-automated-essay-scoring-2,full_external,6,3,1.0,0.0
learning-agency-lab-automated-essay-scoring-2,full_self_report_available,6,3,0.8333333333333334,0.0
learning-agency-lab-automated-essay-scoring-2,full_self_report_complete,4,2,0.75,0.0
learning-agency-lab-automated-essay-scoring-2,sub120_available,6,3,0.4722222222222222,0.0
learning-agency-lab-automated-essay-scoring-2,artifact120_escalate_silent,6,3,1.0,0.0
mlsp-2013-birds,random,6,3,0.35277777777777775,0.1388888888888889
mlsp-2013-birds,full_external,6,3,1.0,0.1388888888888889
mlsp-2013-birds,full_self_report_available,6,3,0.5,0.1388888888888889
mlsp-2013-birds,full_self_report_complete,6,3,0.5,0.1388888888888889
mlsp-2013-birds,sub120_available,6,3,0.21388888888888888,0.1388888888888889
mlsp-2013-birds,artifact120_escalate_silent,6,3,1.0,0.1388888888888889
nomad2018-predict-transparent-conductors,random,6,2,0.5,0.25
nomad2018-predict-transparent-conductors,full_external,6,2,1.0,0.25
nomad2018-predict-transparent-conductors,full_self_report_available,6,2,1.0,0.25
nomad2018-predict-transparent-conductors,full_self_report_complete,6,2,1.0,0.25
nomad2018-predict-transparent-conductors,sub120_available,6,2,0.5,0.25
nomad2018-predict-transparent-conductors,artifact120_escalate_silent,6,2,1.0,0.25
petfinder-pawpularity-score,random,4,3,0.5,0.0
petfinder-pawpularity-score,full_external,4,3,1.0,0.0
petfinder-pawpularity-score,full_self_report_available,4,3,0.75,0.0
petfinder-pawpularity-score,full_self_report_complete,3,2,1.0,0.0
petfinder-pawpularity-score,sub120_available,4,3,0.5,0.0
petfinder-pawpularity-score,artifact120_escalate_silent,4,3,1.0,0.0
random-acts-of-pizza,random,4,4,0.3416666666666667,0.4916666666666667
random-acts-of-pizza,full_external,4,4,1.0,0.4916666666666667
random-acts-of-pizza,full_self_report_available,4,4,1.0,0.4916666666666667
