subset,task,pairs,pooled_accuracy,specialist_accuracy,semantic_mix_accuracy,semantic_mix_minus_pooled
merged,aptos2019-blindness-detection,10,0.6,0.4,0.6,0.0
merged,cassava-leaf-disease-classification,1,0.0,0.0,0.0,0.0
merged,chaii-hindi-and-tamil-question-answering,42,0.5,0.5476190476190477,0.5476190476190477,0.04761904761904767
merged,denoising-dirty-documents,48,0.6041666666666666,0.6041666666666666,0.625,0.02083333333333337
merged,dog-breed-identification,60,0.5,0.45,0.5,0.0
merged,dogs-vs-cats-redux-kernels-edition,21,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.0
merged,facebook-recruiting-iii-keyword-extraction,8,0.5,0.375,0.375,-0.125
merged,google-quest-challenge,20,0.55,0.65,0.6,0.04999999999999993
merged,histopathologic-cancer-detection,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
merged,kuzushiji-recognition,7,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.2857142857142857
merged,leaf-classification,100,0.55,0.59,0.55,0.0
merged,learning-agency-lab-automated-essay-scoring-2,35,0.6,0.6,0.6285714285714286,0.02857142857142858
merged,mlsp-2013-birds,88,0.5227272727272727,0.5340909090909091,0.5227272727272727,0.0
merged,new-york-city-taxi-fare-prediction,32,0.65625,0.59375,0.625,-0.03125
merged,nomad2018-predict-transparent-conductors,48,0.5833333333333334,0.75,0.7708333333333334,0.1875
merged,petfinder-pawpularity-score,57,0.5789473684210527,0.6491228070175439,0.631578947368421,0.05263157894736836
merged,random-acts-of-pizza,15,0.5333333333333333,0.4666666666666667,0.4,-0.1333333333333333
merged,ranzcr-clip-catheter-line-classification,26,0.6538461538461539,0.6923076923076923,0.6538461538461539,0.0
merged,spooky-author-identification,82,0.6707317073170732,0.6341463414634146,0.6463414634146342,-0.024390243902439046
merged,tabular-playground-series-dec-2021,16,0.6875,0.6875,0.6875,0.0
merged,tabular-playground-series-may-2022,48,0.4375,0.3958333333333333,0.4583333333333333,0.020833333333333315
merged,text-normalization-challenge-english-language,19,0.7368421052631579,0.6842105263157895,0.7894736842105263,0.052631578947368474
merged,text-normalization-challenge-russian-language,25,0.68,0.56,0.64,-0.040000000000000036
merged,tgs-salt-identification-challenge,11,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.0
merged,tweet-sentiment-extraction,5,0.8,0.6,0.6,-0.20000000000000007
merged,us-patent-phrase-to-phrase-matching,39,0.7948717948717948,0.7435897435897436,0.7948717948717948,0.0
merged,ventilator-pressure-prediction,30,0.5,0.5666666666666667,0.5333333333333333,0.033333333333333326
merged,whale-categorization-playground,32,0.59375,0.5625,0.65625,0.0625
draft,aptos2019-blindness-detection,1,1.0,1.0,1.0,0.0
draft,cassava-leaf-disease-classification,1,0.0,0.0,0.0,0.0
draft,chaii-hindi-and-tamil-question-answering,11,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.0
draft,denoising-dirty-documents,14,0.35714285714285715,0.2857142857142857,0.2857142857142857,-0.07142857142857145
draft,dog-breed-identification,25,0.52,0.52,0.52,0.0
draft,dogs-vs-cats-redux-kernels-edition,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
draft,facebook-recruiting-iii-keyword-extraction,1,0.0,0.0,0.0,0.0
draft,google-quest-challenge,8,0.625,0.75,0.625,0.0
draft,histopathologic-cancer-detection,3,0.0,0.0,0.0,0.0
draft,kuzushiji-recognition,4,0.25,0.75,0.75,0.5
draft,leaf-classification,18,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.0
draft,learning-agency-lab-automated-essay-scoring-2,20,0.7,0.65,0.7,0.0
draft,mlsp-2013-birds,25,0.32,0.32,0.36,0.03999999999999998
draft,new-york-city-taxi-fare-prediction,11,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.09090909090909094
draft,nomad2018-predict-transparent-conductors,26,0.6923076923076923,0.8461538461538461,0.8076923076923077,0.11538461538461542
draft,petfinder-pawpularity-score,25,0.64,0.68,0.68,0.040000000000000036
draft,random-acts-of-pizza,7,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.0
draft,ranzcr-clip-catheter-line-classification,12,0.5,0.5,0.5,0.0
draft,spooky-author-identification,16,0.875,0.875,0.875,0.0
draft,tabular-playground-series-dec-2021,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
draft,tabular-playground-series-may-2022,18,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.0
draft,text-normalization-challenge-english-language,8,0.625,0.625,0.625,0.0
draft,text-normalization-challenge-russian-language,13,0.7692307692307693,0.6923076923076923,0.7692307692307693,0.0
draft,tgs-salt-identification-challenge,2,1.0,1.0,1.0,0.0
draft,tweet-sentiment-extraction,5,0.8,0.6,0.6,-0.20000000000000007
draft,us-patent-phrase-to-phrase-matching,10,0.8,0.8,0.8,0.0
draft,ventilator-pressure-prediction,10,0.5,0.5,0.5,0.0
draft,whale-categorization-playground,8,0.625,0.375,0.625,0.0
improve,aptos2019-blindness-detection,9,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.0
improve,chaii-hindi-and-tamil-question-answering,31,0.5161290322580645,0.6129032258064516,0.5806451612903226,0.06451612903225812
improve,denoising-dirty-documents,34,0.7058823529411765,0.7352941176470589,0.7647058823529411,0.05882352941176461
improve,dog-breed-identification,35,0.4857142857142857,0.4,0.4857142857142857,0.0
improve,dogs-vs-cats-redux-kernels-edition,15,0.4,0.5333333333333333,0.4,0.0
improve,facebook-recruiting-iii-keyword-extraction,7,0.5714285714285714,0.42857142857142855,0.42857142857142855,-0.14285714285714285
improve,google-quest-challenge,12,0.5,0.5833333333333334,0.5833333333333334,0.08333333333333337
improve,histopathologic-cancer-detection,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
improve,kuzushiji-recognition,3,1.0,0.6666666666666666,1.0,0.0
improve,leaf-classification,82,0.524390243902439,0.5609756097560976,0.524390243902439,0.0
improve,learning-agency-lab-automated-essay-scoring-2,15,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.06666666666666665
improve,mlsp-2013-birds,63,0.6031746031746031,0.6190476190476191,0.5873015873015873,-0.015873015873015817
improve,new-york-city-taxi-fare-prediction,21,0.7142857142857143,0.5714285714285714,0.6190476190476191,-0.09523809523809523
improve,nomad2018-predict-transparent-conductors,22,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.27272727272727276
improve,petfinder-pawpularity-score,32,0.53125,0.625,0.59375,0.0625
improve,random-acts-of-pizza,8,0.625,0.625,0.375,-0.25
improve,ranzcr-clip-catheter-line-classification,14,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.0
improve,spooky-author-identification,66,0.6212121212121212,0.5757575757575758,0.5909090909090909,-0.030303030303030276
improve,tabular-playground-series-dec-2021,10,0.6,0.6,0.6,0.0
improve,tabular-playground-series-may-2022,30,0.36666666666666664,0.36666666666666664,0.4,0.03333333333333338
improve,text-normalization-challenge-english-language,11,0.8181818181818182,0.7272727272727273,0.9090909090909091,0.09090909090909083
improve,text-normalization-challenge-russian-language,12,0.5833333333333334,0.4166666666666667,0.5,-0.08333333333333337
improve,tgs-salt-identification-challenge,9,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.0
improve,us-patent-phrase-to-phrase-matching,29,0.7931034482758621,0.7241379310344828,0.7931034482758621,0.0
improve,ventilator-pressure-prediction,20,0.5,0.6,0.55,0.050000000000000044
improve,whale-categorization-playground,24,0.5833333333333334,0.625,0.6666666666666666,0.08333333333333326
