fold,task,arm,nodes,base_edges,augmentation_rows,unique_edges,components,largest_component_nodes,largest_component_share,normalized_algebraic_connectivity,augmentation_gap_bins
0,aptos2019-blindness-detection,sibling_only,68,34,0,34,34,2,0.029411764705882353,0.0,{}
0,chaii-hindi-and-tamil-question-answering,sibling_only,340,368,0,368,117,5,0.014705882352941176,0.0,{}
0,denoising-dirty-documents,sibling_only,198,187,0,187,79,5,0.025252525252525252,0.0,{}
0,dog-breed-identification,sibling_only,62,47,0,47,27,5,0.08064516129032258,0.0,{}
0,dogs-vs-cats-redux-kernels-edition,sibling_only,18,9,0,9,9,2,0.1111111111111111,0.0,{}
0,google-quest-challenge,sibling_only,76,38,0,38,38,2,0.02631578947368421,0.0,{}
0,histopathologic-cancer-detection,sibling_only,82,41,0,41,41,2,0.024390243902439025,0.0,{}
0,kuzushiji-recognition,sibling_only,14,7,0,7,7,2,0.14285714285714285,0.0,{}
0,leaf-classification,sibling_only,243,218,0,218,92,5,0.0205761316872428,0.0,{}
0,learning-agency-lab-automated-essay-scoring-2,sibling_only,53,40,0,40,22,3,0.05660377358490566,0.0,{}
0,mlsp-2013-birds,sibling_only,222,238,0,238,79,5,0.02252252252252252,0.0,{}
0,nomad2018-predict-transparent-conductors,sibling_only,102,123,0,123,33,5,0.049019607843137254,0.0,{}
0,petfinder-pawpularity-score,sibling_only,513,432,0,432,199,5,0.009746588693957114,0.0,{}
0,random-acts-of-pizza,sibling_only,470,385,0,385,187,5,0.010638297872340425,0.0,{}
0,spaceship-titanic,sibling_only,60,78,0,78,19,11,0.18333333333333332,0.0,{}
0,spooky-author-identification,sibling_only,647,518,0,518,255,4,0.0061823802163833074,0.0,{}
0,tabular-playground-series-dec-2021,sibling_only,48,27,0,27,23,3,0.0625,0.0,{}
0,tabular-playground-series-may-2022,sibling_only,141,115,0,115,59,5,0.03546099290780142,0.0,{}
0,text-normalization-challenge-russian-language,sibling_only,180,90,0,90,90,2,0.011111111111111112,0.0,{}
0,tweet-sentiment-extraction,sibling_only,80,40,0,40,40,2,0.025,0.0,{}
0,us-patent-phrase-to-phrase-matching,sibling_only,662,331,0,331,331,2,0.0030211480362537764,0.0,{}
0,whale-categorization-playground,sibling_only,85,44,0,44,42,3,0.03529411764705882,0.0,{}
0,aptos2019-blindness-detection,sibling_reweight_control,68,34,34,34,34,2,0.029411764705882353,0.0,"{""2"": 3, ""3"": 3, ""4"": 14, ""5"": 11, ""6"": 2, ""7"": 1}"
0,chaii-hindi-and-tamil-question-answering,sibling_reweight_control,340,368,368,368,117,5,0.014705882352941176,0.0,"{""1"": 1, ""3"": 14, ""4"": 45, ""5"": 99, ""6"": 127, ""7"": 60, ""8"": 22}"
0,denoising-dirty-documents,sibling_reweight_control,198,187,187,187,79,5,0.025252525252525252,0.0,"{""0"": 7, ""1"": 4, ""2"": 24, ""3"": 50, ""4"": 41, ""5"": 22, ""6"": 32, ""7"": 7}"
0,dog-breed-identification,sibling_reweight_control,62,47,46,47,27,5,0.08064516129032258,0.0,"{""2"": 2, ""3"": 1, ""4"": 3, ""5"": 6, ""6"": 7, ""7"": 18, ""8"": 9}"
0,dogs-vs-cats-redux-kernels-edition,sibling_reweight_control,18,9,9,9,9,2,0.1111111111111111,0.0,"{""2"": 2, ""3"": 2, ""4"": 1, ""5"": 2, ""6"": 2}"
0,google-quest-challenge,sibling_reweight_control,76,38,38,38,38,2,0.02631578947368421,0.0,"{""3"": 2, ""4"": 12, ""5"": 11, ""6"": 10, ""7"": 3}"
0,histopathologic-cancer-detection,sibling_reweight_control,82,41,41,41,41,2,0.024390243902439025,0.0,"{""0"": 4, ""1"": 4, ""2"": 11, ""3"": 9, ""4"": 8, ""5"": 3, ""6"": 1, ""8"": 1}"
