task,model_family,release_run,model_token,temperature_token,timestamp,source_path,pairs,exact_ties,nonfinite_score_pairs,valid_nontie_predictions,valid_coverage,accuracy,pick_index0_rate,mean_confidence,ece10
aptos2019-blindness-detection,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,1225,0,0,1072,0.8751020408163265,0.5216326530612245,0.46828358208955223,0.6694216417910489,0.15356343283581747
aptos2019-blindness-detection,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,1225,0,0,1042,0.8506122448979592,0.516734693877551,0.47888675623800386,0.6637715930902139,0.14755278310940212
aptos2019-blindness-detection,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,1225,0,0,1065,0.8693877551020408,0.5142857142857142,0.463849765258216,0.6641314553990642,0.14497652582159343
aptos2019-blindness-detection,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,1225,0,0,1225,1.0,0.4873469387755102,0.27510204081632655,0.6996326530612251,0.21228571428571313
aptos2019-blindness-detection,gpt,2,gpt-5_1,1p0,20251211_161746,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json,1225,0,0,1225,1.0,0.4897959183673469,0.2595918367346939,0.6996163265306125,0.2098204081632641
aptos2019-blindness-detection,gpt,3,gpt-5_1,1p0,20251211_171620,solutions_subset_50/aptos2019-blindness-detection/report/alignment_aptos2019-blindness-detection_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json,1225,0,0,1225,1.0,0.4685714285714286,0.2726530612244898,0.7005551020408163,0.23198367346938642
denoising-dirty-documents,deepseek,1,deepseek-reasoner,0p0,20251205_214840,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251205_214840.json,974,0,0,862,0.8850102669404517,0.7638603696098563,0.49303944315545245,0.7367169373549902,0.046809744779583704
denoising-dirty-documents,deepseek,2,deepseek-reasoner,0p0,20251209_135057,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json,974,0,0,824,0.8459958932238193,0.7638603696098563,0.5182038834951457,0.7310072815533982,0.06425970873786528
denoising-dirty-documents,deepseek,3,deepseek-reasoner,1p0,20251209_164656,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json,974,0,0,842,0.864476386036961,0.7535934291581109,0.4916864608076009,0.7317577197149647,0.05755344418052403
denoising-dirty-documents,gpt,1,gpt-5_1,1p0,20251210_154406,solutions_subset_50/denoising-dirty-documents/report/alignment_denoising-dirty-documents_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json,974,0,0,974,1.0,0.5236139630390144,0.47125256673511295,0.7466632443531807,0.22304928131416485
