task,pairs,runs,parents,endpoints,complete_parents,strict_total_order_parents,multiway_parents,multiway_parent_share,pair_count_per_run_min,pair_count_per_run_median,pair_count_per_run_max,outer_active_folds,outer_min_fit_runs_when_active,outer_min_fit_parents_when_active,outer_min_valid_runs_when_active,inner_3fold_run_feasible_in_every_active_outer_fold
aptos2019-blindness-detection,34,2,34,68,34,34,0,0.0,17,17.0,17,2,1,17,1,False
chaii-hindi-and-tamil-question-answering,372,11,119,345,119,119,78,0.6554621848739496,1,26.0,98,5,7,72,1,True
denoising-dirty-documents,194,19,86,212,86,86,18,0.20930232558139536,1,3.0,82,5,12,54,2,True
dog-breed-identification,83,13,56,123,56,56,7,0.125,1,6.0,16,4,8,27,2,True
dogs-vs-cats-redux-kernels-edition,11,3,11,22,11,11,0,0.0,2,4.0,5,3,2,6,1,False
google-quest-challenge,45,12,45,90,45,45,0,0.0,1,3.5,10,4,8,23,2,True
histopathologic-cancer-detection,46,8,46,92,46,46,0,0.0,2,5.0,10,3,2,15,1,False
kuzushiji-recognition,9,3,9,18,9,9,0,0.0,2,3.0,4,3,2,5,1,False
leaf-classification,353,24,147,393,146,146,92,0.6258503401360545,1,7.0,61,5,17,87,1,True
learning-agency-lab-automated-essay-scoring-2,50,11,28,67,28,28,11,0.39285714285714285,1,2.0,13,5,8,18,1,True
mlsp-2013-birds,257,20,86,241,86,86,42,0.4883720930232558,1,9.0,45,5,14,58,2,True
nomad2018-predict-transparent-conductors,195,17,57,171,55,55,36,0.631578947368421,1,7.0,58,5,12,33,2,True
petfinder-pawpularity-score,449,32,212,541,211,211,114,0.5377358490566038,1,4.0,179,5,23,117,4,True
random-acts-of-pizza,461,23,261,619,261,261,92,0.3524904214559387,1,9.0,92,5,15,170,2,True
spaceship-titanic,86,15,25,73,23,23,10,0.4,1,3.0,42,5,10,16,1,True
spooky-author-identification,900,32,419,1092,391,391,253,0.60381861575179,1,3.0,290,5,25,255,5,True
tabular-playground-series-dec-2021,29,17,25,52,25,25,2,0.08,1,1.0,5,5,12,17,2,True
tabular-playground-series-may-2022,124,36,64,153,64,64,17,0.265625,1,1.5,23,5,27,38,5,True
text-normalization-challenge-english-language,17,2,17,34,17,17,0,0.0,7,8.5,10,1,0,0,2,False
text-normalization-challenge-russian-language,96,8,96,192,96,96,0,0.0,1,10.5,30,5,6,60,1,True
tweet-sentiment-extraction,40,3,40,80,40,40,0,0.0,2,18.0,20,2,1,20,1,False
us-patent-phrase-to-phrase-matching,336,10,336,672,336,336,0,0.0,1,5.5,168,4,6,155,1,True
whale-categorization-playground,76,12,74,149,74,74,1,0.013513513513513514,2,3.5,25,5,8,42,1,True
