parent,run_id,task,n_children,n_artifact,n_silent,endpoint_identity_top1,selected_artifact_fraction,deployed_utility,full_final_best_utility,deployed_delta_to_full_final,deployed_matches_or_beats_full,deployed_strictly_beats_full,deployed_strictly_loses_full
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,3,0,3,1.0,0.0,0.69479,0.69479,0.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,2,0,2,1.0,0.0,0.09459,0.09459,0.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,3,0,3,1.0,0.0,0.68914,0.68914,0.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,3,0,3,1.0,0.0,0.58188,0.58188,0.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,3,0,3,1.0,0.0,0.57336,0.57336,0.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,2,2,0,1.0,1.0,0.00738,0.00738,0.0,1.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,2,0,2,1.0,0.0,0.58586,0.58586,0.0,1.0,0.0,0.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,2,0,2,1.0,0.0,-0.01467,-0.01467,0.0,1.0,0.0,0.0
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,2,0,2,1.0,0.0,-0.04866,-0.04866,0.0,1.0,0.0,0.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,2,0,2,1.0,0.0,-0.01199,-0.01199,0.0,1.0,0.0,0.0
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,2,0,2,1.0,0.0,-0.12557,-0.12557,0.0,1.0,0.0,0.0
denoising-dirty-documents__dee39489ceb240ffabbd9e9f3e2deb47,cards_senior_0731.jsonl:13,denoising-dirty-documents,2,0,2,1.0,0.0,-0.01561,-0.01561,0.0,1.0,0.0,0.0
denoising-dirty-documents__e8ac693c1f134f9fbede2c6e3b7605cf,cards_senior_0804.jsonl:24,denoising-dirty-documents,2,0,2,1.0,0.0,-0.04931,-0.04931,0.0,1.0,0.0,0.0
denoising-dirty-documents__ec447d8baa434d0faf493d69c4e88a48,cards_senior_0727.jsonl:16,denoising-dirty-documents,2,0,2,1.0,0.0,-0.01728,-0.01728,0.0,1.0,0.0,0.0
denoising-dirty-documents__fa4eee2f776a44efb0fe1e4e15339553,cards_senior_0731.jsonl:13,denoising-dirty-documents,2,0,2,1.0,0.0,-0.01314,-0.01314,0.0,1.0,0.0,0.0
google-quest-challenge__09e3c19539104671ae6c7ac3d25ba513,cards_senior_0806.jsonl:8,google-quest-challenge,2,0,2,1.0,0.0,0.40648,0.40648,0.0,1.0,0.0,0.0
google-quest-challenge__54d5e9cda21a4099a4d5c8a5900b642d,cards_senior_0731.jsonl:8,google-quest-challenge,2,0,2,1.0,0.0,0.43917,0.43917,0.0,1.0,0.0,0.0
google-quest-challenge__59d05421af854a3ebf13a049f852fca7,cards_senior_0731.jsonl:8,google-quest-challenge,2,1,1,1.0,0.0,0.42907,0.42907,0.0,1.0,0.0,0.0
google-quest-challenge__5bbb739e789e4195ab45d5c9d9e4ef0e,cards_senior_0731.jsonl:8,google-quest-challenge,2,1,1,1.0,0.0,0.41759,0.41759,0.0,1.0,0.0,0.0
google-quest-challenge__9c121e84fa5a451e87b48f608b215dd4,cards_senior_0731.jsonl:8,google-quest-challenge,2,0,2,1.0,0.0,0.43941,0.43941,0.0,1.0,0.0,0.0
google-quest-challenge__9f74747856c543728a41fbad7c6faf26,cards_senior_0731.jsonl:8,google-quest-challenge,2,0,2,1.0,0.0,0.43785,0.43785,0.0,1.0,0.0,0.0
google-quest-challenge__af65cdfcccea47739bbbd7014fb7f5d6,cards_senior_0731.jsonl:8,google-quest-challenge,2,0,2,1.0,0.0,0.44008,0.44008,0.0,1.0,0.0,0.0
kuzushiji-recognition__121ed223cdb04e059635cad9a797bd87,cards_senior_0806.jsonl:13,kuzushiji-recognition,2,0,2,1.0,0.0,0.72781,0.72781,0.0,1.0,0.0,0.0
kuzushiji-recognition__4dd7be980ff84ddba2cf9058c2885427,cards_senior_0804.jsonl:10,kuzushiji-recognition,2,0,2,1.0,0.0,0.65832,0.65832,0.0,1.0,0.0,0.0
kuzushiji-recognition__ad92a6e36fda4465b4ac7e307e5a71cb,cards_senior_0806.jsonl:13,kuzushiji-recognition,2,0,2,1.0,0.0,0.77751,0.77751,0.0,1.0,0.0,0.0
kuzushiji-recognition__eeaa6bfc07634ea58702ac333e168a6a,cards_senior_0804.jsonl:10,kuzushiji-recognition,2,0,2,1.0,0.0,0.58526,0.58526,0.0,1.0,0.0,0.0
leaf-classification__239c7e7b1c754e3c964e2a79deca5005,cards_senior_0808.jsonl:34,leaf-classification,3,3,0,1.0,1.0,-0.13386,-0.13385,-1.0000000000010001e-05,0.0,0.0,1.0
leaf-classification__3c164f72f3244432b38a52ea18357921,cards_senior_0808.jsonl:34,leaf-classification,3,3,0,1.0,1.0,-0.02185,-0.02185,0.0,1.0,0.0,0.0
leaf-classification__6ab44b6035424b84aa5f92009d7da965,cards_senior_0808.jsonl:34,leaf-classification,2,2,0,1.0,1.0,-0.61573,-0.61573,0.0,1.0,0.0,0.0
