role,task,run_id_sha256,parent_sha256,source_children,finite_children,source_identity_available,missing_identity_children,certified_invalid_children,unknown_source_children,published_direct_relations,status_direct_relations,execution_only_direct_relations,published_transitive_relations,status_transitive_relations,execution_only_transitive_relations,published_top_set_size,status_top_set_size,execution_only_top_set_size,published_winner_identified,status_winner_identified,execution_only_winner_identified,newly_identified_by_status,newly_identified_execution_only
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,aff9ddb9c984c276ce037d451dc26822c171a46355bb124a6a835e4b7cd96d3f,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,3189fb7b55cac8f1b894e1e4d2075be38d0be26b88156dacda5ca0a93915b41e,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,8a7a81a2b26ef2a048aa626fb6a8892c4a48a6bc9f9aaf1d55bad6ba704b5d20,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,db69c4c488955be051ede1f00b55e8530ebf42c3fd15b40c6ea392a8cbe3faa6,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,8644c4f2b6c6574f6cf7b520c32aa02e91bc78eeef2af76e2c219abf41d7c43d,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,cb5c5810df97824a0a311976320e2e68d460628afd81746a8667879b2df9583e,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,8e39db291b197d48ec5c075254579aad4192e4ae4c74eba33ef1c0a73f450630,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,a38a6b2f8cf8943cdfb88b1024fb2c14b329d7868d4f3d9ff8db38eddae15384,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,21ee05c8c506fea7d2f3e842d6842bc2d8dbce587725c92ff744b4e9420c146f,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
extension,aptos2019-blindness-detection,3cb17c591f4b6145a30b2685c2664bfaa31e0c70e42b1a8eeae3057c6fa64a6a,0557233519e0c20f37aeaf7c27d22417c3e33a594c4527b4a541d54be5905d74,2,2,True,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,False,False
