task,sets,runs,censor_survival,observed_survival,structured_random_survival,delta_vs_observed,delta_vs_random
chaii-hindi-and-tamil-question-answering,7,4,1.0,1.0,0.9285714285714286,0.0,0.07142857142857142
denoising-dirty-documents,8,5,1.0,1.0,1.0,0.0,0.0
google-quest-challenge,7,2,1.0,0.7142857142857143,1.0,0.2857142857142857,0.0
kuzushiji-recognition,4,2,1.0,1.0,1.0,0.0,0.0
leaf-classification,6,2,1.0,1.0,0.6111111111111112,0.0,0.3888888888888889
learning-agency-lab-automated-essay-scoring-2,6,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
mlsp-2013-birds,6,3,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.5,0.0
nomad2018-predict-transparent-conductors,6,2,1.0,0.6666666666666666,0.75,0.3333333333333333,0.25
petfinder-pawpularity-score,4,3,1.0,0.75,0.875,0.25,0.125
random-acts-of-pizza,4,4,1.0,1.0,0.3416666666666667,0.0,0.6583333333333333
spaceship-titanic,1,1,1.0,1.0,0.5,0.0,0.5
spooky-author-identification,6,4,1.0,1.0,0.3888888888888889,0.0,0.611111111111111
tabular-playground-series-dec-2021,3,3,1.0,1.0,1.0,0.0,0.0
tabular-playground-series-may-2022,6,5,1.0,1.0,1.0,0.0,0.0
text-normalization-challenge-english-language,5,2,1.0,1.0,1.0,0.0,0.0
text-normalization-challenge-russian-language,3,1,1.0,1.0,1.0,0.0,0.0
tweet-sentiment-extraction,6,3,1.0,1.0,1.0,0.0,0.0
us-patent-phrase-to-phrase-matching,6,2,1.0,1.0,1.0,0.0,0.0
whale-categorization-playground,6,1,1.0,0.8333333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667
