textID,selected_text
80a1e6bc32,a
863097735d,iss
264cd5277f,"tired and didn`t really have an exciting Saturday.  oh well, hope it`s better tomorrow."
baee1e6ffc,i`ve been eating cheetos all morning..
67d06a8dee,haiiii sankQ i`m fineee ima js get a checkup cos my rib hurts LOL idk but i shall be fine ~ thanks
7438c9c09a,d
77a6add433,t
0f5c867e5d,In weho! They`re are playing a lot of brit
02d47f1829,_NJ Oh! I`m only in my 7   I just joined Twitter a few days ago....
7b46dad07f,w
a45e3b097b,how r u feeling? and when r u guys coming back to canad?... come to vancouver!
85453272a9,e
e22c5b9096,exploded.
5bcaf5aa9f,there`s a 9 year waiting list to get an appointment.
8e39e8f318,odd
d641fd2819,Hoping that this will just heal on it`s own because anything I put on it just makes it worse. Owww
4b53d107bd,`
f977627ef9,first night sleeping in my new home
1389791cd7,i
6dc7da1338,stil
8ce827ac09,Grand Indonesia with mom n sisters...
4ec73afa55,stamp
d7971e5203,yeah me too.
0c28082f08,I want him to call
5ce6e92e2c,ishes
3e56c631c0,gotta go! bye twitterland!  good night! i`ll try sleep. so that i will recover easily! still sick!  bye!
adca191e66,l
a0e58fd6d8,is it normal for a masseusse to fully massage your buttocks? I swear she was a quarter inch from a medical exam..
6d67a97c4d,chips
c1608cfd9d,w
069dd440e4,o
56d742e6bc,eadaches! May
124502697f,Good morning world! I feel really sick.
82adc47e1b,"ys,"
646a2866e0,liev
2660d36152,sorry.
43e658a79f,"well, the requirements are quite high as well"
f82fc1a0f6,real_n
31215522c2,Don`t 4 get to call your moms tomorrow...mothers day
542499cbd6,Gr
cd23a0a6da,eant casting-relat
0a9e2f2672,mebac
c60ca15d48,......when I find chays keys  im gonna clean my room up tomorrow. They`ll pop up
eefbc18906,With My Boy Still  He`s everything to me
cb45fae109,listenin
8114133dba,c
486c0a2215,about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.
5c43dd8dc4,Loads of little jobs to do today.  Going to be playing walking themed music today from BrickMan
b7e2fef42e,oyota.
3b0a210bad,trail
8e91c0ce24,You almost have as many viewers as the Live Eagle Cam on Ustream  http://tinyurl.com/d4hgoj
09a68b835c,Bit of sunshine out there and it perks us all up  Especially when you have a mountain of towels to wash and get dry!
0a7bcd83f5,ently
75f4f9fe63,W
63264da974,ee
0959262dda,It tells me I`m not a member of the private beta  and I`m not going to just start pretending to assassinate people
957b47f07c,sorr
ad443fa341,so addicting
33f32a6832,NIC
d54439bba7,good
960bbdc0c3,m
cf6ded5fbf,Ecaytrade people who said you`d come by stuff at 6:30..where are you ? Bugs me when people no-show
b27374035d,ppy
47fad4f4cd,y
8e7d8d2a14,well i miss her i think she would really like it  re:trina
ebe781df42,haha...it the booomb
75318ceaff,internet
6466259a12,last time...
76c143dd66,s
778184dff1,know
0d8328f19c,py
716f2a0736,anks!
878c210da3,Admitting that I don`t like action plots and I do like romance plots always makes me feel like I`m setting back the feminist cause.
dfa12a52eb,Happy Star Wars Day? OHHHH...now I get it. May the 4th be with you.  love it. (and mondays). (sorry again) #starwarsday
886d0c07ed,M
dbbbbe6059,i
ddb006254b,ed.
03ff7b5de5,cant
3e3236c26f,y
17779824cf,See FTSK tonight in Grand Rapids
654f3b938c,e
51fe547d97,heyy have you deleted your myspace account  cause the link in the side bar wont work it says its been deleted wb ily ****
249849fb5b,feelin
82f88a3667,recover
a04f085297,hahahaha definitely!  still writing?
678d99802d,chille
72aa630b62,_radio i`m too awake now  ill have a nap this afternoon
511eff412b,"Crazy Legs is peepin _parks at the pool hahaha She likes graf writers, not b-boys, sorry"
a52a462bef,sleep
7179b0d17c,people not
bce44bef7b,liev
58d5c02640,e
ce9e055eaf,good
cd510913d0,e
433d0e9177,a
04f7a0b0f0,ile
d0db1353bd,"If all goes according to plan, you CSE RFID guinea pigs should have a **** FF extension to play with by the end of this week"
ad34a6585f,went to wingstop without me
ad0dc9e617,es
05a3d0d114,p
3961e6973d,://bit.ly/bGcnW
7b2d60b7b2,Ugh. Going to skool
f1c227d162,e
bcec654c69,FJGKFLD;`Sdh WHY AM I NOT AT HOMETOWN DAYS WITH MY FRIENDS.
3bf7a25c9b,Happy
c8b98d7102,yooo! Its rainin dumb hard out.
d852bd1a2f,broke my gorilla pod  and I think one Lego Knight lost his helmet
a208770a32,in spoke to you yesterday and u didnt respond girl  wassup though!
fe1b3235db,Wheres my phone ?!
b2f1788e06,Joe`s version is pretty but it`s a sleeper.  Shouldn`t be played at 1am.
088ed77c3f,"Im 20 - believe me, I`ve tried! I`m just too ginger! Freckles join up on my face - that`s it!  get it out a bottle cancerfree"
b524839bd6,Happy
11432973be,aaa new follower! hiii
5abbf5d8a2,m
957d35b0c3,Follow Friday  b/c she needs more followers
247e9c28a5,appy
e891770f33,sor
bd44faa13e,Hi to you too.
e5b3f605e0,a
0e77fb5e8d,just got Zion tweet
e10a97ec7c,.
ca57a8830c,stopped
e7eecffdc8,</3...my
bc7fe75312,"Just wondering if you are going to put 'One Too Many' on itunes.  I hope you do, it is the only cd of yours I don`t have."
7a95002cbf,already...
61180babcd,_Stack i wish i could go to both but i don`t think i`ll be allowed :p either way with two shows going your bound to get a ticket
4aec85b115,It`s driving you insane? Really? It`s Sterling Knight playing Chad Dylan Cooper on Sonny With A Chance
7162d447ab,w
a31a621c21,Appreciation lunch at work. Good food! But sucks being here on my day off lol
baeb1065cc,"Editors read this and nod, writers read this and take notes.  http://tinyurl.com/crm4c2"
49038089d9,hmm...
d9f7bd1045,unburn
9400ac22ec,ingin
3c50ececed,life
6f6e62720f,Early lunch then getting all dressed up for Amy`s confirmation
fd0493acff,i miss jack n box  and whataburger  and oooo taco cabanaaaaaa  lmao
8dac14082f,l
482a27ec9b,the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha
d5a48e9def,I`m not leaving yet!
55692ad465,lis
7977b7383f,preadsheets
58eb4caec4,hilton
54f1da99f5,bad
e6e3c3e719,syste
80bae565bd,people
bfc6b161de,feeling very
3892687f15,please?
8bb2ea067c,hate
eeaffbc220,time to hit the study notes! prep for friday`s exam!
3c65ea7be3,.
a1e6b3b6db,u
89e401fb16,a
68087dccec,pp
cd829a293c,No code I think  coined the phrase Hottie Switchfoot Guy for Tim HSG for short  ~wendy~
b79a17e28c,w
e4dd50f35f,people did any
25e1b56bb2,ired
95c909631f,lower than zero..
a948d1231e,avors.
d3f73a3487,Ok- I guess it`s time to throw in the towel and head to work
5b3fa61b4c,On way to Birmingham.. Sewing in the van. Punk.
03c7151b7c,"rude, mouthy,"
b61a1eab3d,l
a3a76e9bbd,e
fcdf7115ee,_Von_Abe  I have no idea!! but all white?? weird!! but not bad
e7c8dd1576,_sian lol. I don`t have the benefit of Sky+ and hubbie was watching them so had to sit thru it.
bddb88ee73,_c re:headaches my wife is in the same situation and has finally decided to go with meds because its just too much
daadcab8af,tter!
5db4f576b6,last day
4bf07d44a1,'I want you in my mouth and my **** b!tch' mm jeffree rawks
f69743df17,Lena`s
600580c6b5,Nooooothing
38d3911bc7,anks!
e924fb4417,y
59da188f20,noes!
c834d840d2,Where did the
daced5469d,The Renegades last day was today and...well... he`s gone... didn`t catch him  Gutted... Closest he came to Greenock was Kilmacolm!
23c1478113,day anyway.
bb9c4a0aa5,"his weekend, sor"
024ab7f5da,y
