textID,selected_text
80a1e6bc32,wish
863097735d,miss
264cd5277f,"tired and didn`t really have an exciting Saturday.  oh well, hope it`s better tomorrow."
baee1e6ffc,i`ve been eating cheetos all morning..
67d06a8dee,haiiii sankQ i`m fineee ima js get a checkup cos my rib hurts LOL idk but i shall be fine ~ thanks
7438c9c09a,C
77a6add433,n
0f5c867e5d,In weho! They`re are playing a lot of brit
02d47f1829,_NJ Oh! I`m only in my 7   I just joined Twitter a few days ago....
7b46dad07f,is
a45e3b097b,how r u feeling? and when r u guys coming back to canad?... come to vancouver!
85453272a9,opefully
e22c5b9096,c
5bcaf5aa9f,there`s a 9 year waiting list to get an appointment.
8e39e8f318,d
d641fd2819,Hoping that this will just heal on it`s own because anything I put on it just makes it worse. Owww
4b53d107bd,i
f977627ef9,first night sleeping in my new home
1389791cd7,a
6dc7da1338,*
8ce827ac09,Grand Indonesia with mom n sisters...
4ec73afa55,y
d7971e5203,yeah me too.
0c28082f08,I want him to call
5ce6e92e2c,hard
3e56c631c0,gotta go! bye twitterland!  good night! i`ll try sleep. so that i will recover easily! still sick!  bye!
adca191e66,loves
a0e58fd6d8,is it normal for a masseusse to fully massage your buttocks? I swear she was a quarter inch from a medical exam..
6d67a97c4d,sn`t feel rig
c1608cfd9d,3
069dd440e4,feel sick
56d742e6bc,not read
124502697f,Good morning world! I feel really sick.
82adc47e1b,s
646a2866e0,i
2660d36152,r
43e658a79f,"well, the requirements are quite high as well"
f82fc1a0f6,thanks !
31215522c2,Don`t 4 get to call your moms tomorrow...mothers day
542499cbd6,Great
cd23a0a6da,*
0a9e2f2672,Love
c60ca15d48,......when I find chays keys  im gonna clean my room up tomorrow. They`ll pop up
eefbc18906,With My Boy Still  He`s everything to me
cb45fae109,s
8114133dba,amazing
486c0a2215,about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.
5c43dd8dc4,Loads of little jobs to do today.  Going to be playing walking themed music today from BrickMan
b7e2fef42e,d
3b0a210bad,lly good!
8e91c0ce24,You almost have as many viewers as the Live Eagle Cam on Ustream  http://tinyurl.com/d4hgoj
09a68b835c,Bit of sunshine out there and it perks us all up  Especially when you have a mountain of towels to wash and get dry!
0a7bcd83f5,s
75f4f9fe63,p
63264da974,e
0959262dda,It tells me I`m not a member of the private beta  and I`m not going to just start pretending to assassinate people
957b47f07c,sorry
ad443fa341,k
33f32a6832,o
d54439bba7,good
960bbdc0c3,s
cf6ded5fbf,Ecaytrade people who said you`d come by stuff at 6:30..where are you ? Bugs me when people no-show
b27374035d,Happy
47fad4f4cd,E
8e7d8d2a14,well i miss her i think she would really like it  re:trina
ebe781df42,haha...it the booomb
75318ceaff,g
6466259a12,u
76c143dd66,r
778184dff1,d
0d8328f19c,y
716f2a0736,anks!
878c210da3,Admitting that I don`t like action plots and I do like romance plots always makes me feel like I`m setting back the feminist cause.
dfa12a52eb,Happy Star Wars Day? OHHHH...now I get it. May the 4th be with you.  love it. (and mondays). (sorry again) #starwarsday
886d0c07ed,AMAZING
dbbbbe6059,thank
ddb006254b,sick
03ff7b5de5,mad
3e3236c26f,y
17779824cf,See FTSK tonight in Grand Rapids
654f3b938c,n
51fe547d97,heyy have you deleted your myspace account  cause the link in the side bar wont work it says its been deleted wb ily ****
249849fb5b,sorry you are feeling sad E!
82f88a3667,*
a04f085297,hahahaha definitely!  still writing?
678d99802d,humid
72aa630b62,_radio i`m too awake now  ill have a nap this afternoon
511eff412b,"Crazy Legs is peepin _parks at the pool hahaha She likes graf writers, not b-boys, sorry"
a52a462bef,r
7179b0d17c,t
bce44bef7b,r
58d5c02640,love
ce9e055eaf,good
cd510913d0,n
433d0e9177,d
04f7a0b0f0,r
d0db1353bd,"If all goes according to plan, you CSE RFID guinea pigs should have a **** FF extension to play with by the end of this week"
ad34a6585f,went to wingstop without me
ad0dc9e617,e
05a3d0d114,v
3961e6973d,n
7b2d60b7b2,Ugh. Going to skool
f1c227d162,f
bcec654c69,FJGKFLD;`Sdh WHY AM I NOT AT HOMETOWN DAYS WITH MY FRIENDS.
3bf7a25c9b,Happy Mo
c8b98d7102,yooo! Its rainin dumb hard out.
d852bd1a2f,broke my gorilla pod  and I think one Lego Knight lost his helmet
a208770a32,in spoke to you yesterday and u didnt respond girl  wassup though!
fe1b3235db,Wheres my phone ?!
b2f1788e06,Joe`s version is pretty but it`s a sleeper.  Shouldn`t be played at 1am.
088ed77c3f,"Im 20 - believe me, I`ve tried! I`m just too ginger! Freckles join up on my face - that`s it!  get it out a bottle cancerfree"
b524839bd6,Happy
11432973be,aaa new follower! hiii
5abbf5d8a2,s
957d35b0c3,Follow Friday  b/c she needs more followers
247e9c28a5,Happy
e891770f33,sorry
bd44faa13e,Hi to you too.
e5b3f605e0,o
0e77fb5e8d,just got Zion tweet
e10a97ec7c,r
ca57a8830c,u
e7eecffdc8,r
bc7fe75312,"Just wondering if you are going to put 'One Too Many' on itunes.  I hope you do, it is the only cd of yours I don`t have."
7a95002cbf,s
61180babcd,_Stack i wish i could go to both but i don`t think i`ll be allowed :p either way with two shows going your bound to get a ticket
4aec85b115,It`s driving you insane? Really? It`s Sterling Knight playing Chad Dylan Cooper on Sonny With A Chance
7162d447ab,excited
a31a621c21,Appreciation lunch at work. Good food! But sucks being here on my day off lol
