parent,task,run,fold,tri_unanimous_q20_vote,char_margin_matched_vote,unanimous_crc_matched_vote,char_crc_matched_vote,random_on_primary_vote,oracle_all_vote,random_all_vote
aptos2019-blindness-detection__140c27c2e4b341c9b03f51ea22699acf,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,-1,1
aptos2019-blindness-detection__21115182d7e84c87b4ac30f86564e5c0,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,-1,1
aptos2019-blindness-detection__21ae5e4b86694abc8289e9e59853234e,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,-1
aptos2019-blindness-detection__2ab53c1b07b6494c9d21273e93221986,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,-1,,,,-1,1
aptos2019-blindness-detection__2de90454a9b042e8bd92ca940adc2d27,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,1,,1,1
aptos2019-blindness-detection__3fbca6a59d4343be9dab5ec4fb6e9f29,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,-1,,,-1,1
aptos2019-blindness-detection__48766d9d76324783bbb968efee7f4bc3,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,-1,1
aptos2019-blindness-detection__497de083c10a4b85b1059533ebcbf7f4,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,-1,1
aptos2019-blindness-detection__4d31ce9769bf4519a0991a91a653707c,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,-1
aptos2019-blindness-detection__556f11b947c34f4893b2131620335447,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,-1,,1,1
aptos2019-blindness-detection__5c27f9da52ee4712a25e8550992600ed,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,-1,1
aptos2019-blindness-detection__655f7310d8304de9a0544160c6a79151,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,-1,,-1,,1,1,-1
aptos2019-blindness-detection__6831ecf58f56434c8938af19042b2f7e,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,1,,1,-1
aptos2019-blindness-detection__6a7edb0a239a40ae8ad686178aba8479,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,1,,1,-1
aptos2019-blindness-detection__6d1100aa605b49ecb37d5fa124b826b8,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,-1,,,-1,-1,-1,-1
aptos2019-blindness-detection__6e50dba26b8449cfaae46ebf62dcaf96,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,1
aptos2019-blindness-detection__783b8c062e8e42fcbe06f168c0d0e3f0,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,1,,,,-1,1
aptos2019-blindness-detection__7b85b256036b48c684533b171d58c0f8,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,1,1,1,,-1,-1,-1
aptos2019-blindness-detection__8943e625082941b9814062749ad18f76,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,1,1
aptos2019-blindness-detection__916e6a623abd47ab9d1222e49a2a70b0,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,-1,,-1,,1,-1,-1
aptos2019-blindness-detection__92c062f2f2214a2bb19a7af2c8cb9ade,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,1,,1,,-1,1,-1
aptos2019-blindness-detection__9418dd34c2eb407294cc4aeaab4ea1d0,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,-1
aptos2019-blindness-detection__95a0f83ce1c841aeb9d50dd50933a497,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,1,,1,1
aptos2019-blindness-detection__9b2a494c3f794be58951a352a7eebb2e,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,1,-1
aptos2019-blindness-detection__a2ab264ed7ba43b98f9f47fe6413ce09,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,1,,,,1,1
aptos2019-blindness-detection__aae4d39a127e4aac8aa050959efbf367,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,1
aptos2019-blindness-detection__c0d025a7c6984800a91d1ee98e541fcc,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,-1,-1,-1,,1,1,-1
aptos2019-blindness-detection__d6207c1efd3a4231b87230ffe1f5c48f,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,1,1
aptos2019-blindness-detection__e0a859e44294459f9c9ee3355437e5b0,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,1,-1
aptos2019-blindness-detection__e5ed3e85e7424bfa9d73b72c5b4a94c3,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,1
aptos2019-blindness-detection__eb3a671f15564d19a45452079516889c,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1,,,,,,1,1
aptos2019-blindness-detection__eba0ae2f8c6e4ef59eb06809a7551fff,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,4,,,,,,-1,1
