task,model_family,release_run_1_pairs,release_run_2_pairs,release_run_3_pairs,union_pairs,intersection_pairs,excluded_incomplete_triplicate_pairs,intersection_ratio,exact_triplicate_grid
aptos2019-blindness-detection,deepseek,1225,1225,1225,1225,1225,0,1.0,True
aptos2019-blindness-detection,gpt,1225,1225,1225,1225,1225,0,1.0,True
denoising-dirty-documents,deepseek,974,974,974,974,974,0,1.0,True
denoising-dirty-documents,gpt,974,974,974,974,974,0,1.0,True
detecting-insults-in-social-commentary,deepseek,350,350,350,350,350,0,1.0,True
detecting-insults-in-social-commentary,gpt,350,350,350,350,350,0,1.0,True
dog-breed-identification,deepseek,3,3,3,3,3,0,1.0,True
dog-breed-identification,gpt,3,3,3,3,3,0,1.0,True
google-quest-challenge,deepseek,1224,1224,1224,1224,1224,0,1.0,True
google-quest-challenge,gpt,1224,1224,1224,1224,1224,0,1.0,True
jigsaw-toxic-comment-classification-challenge,deepseek,10,10,10,10,10,0,1.0,True
jigsaw-toxic-comment-classification-challenge,gpt,10,10,10,10,10,0,1.0,True
leaf-classification,deepseek,136,136,136,136,136,0,1.0,True
leaf-classification,gpt,136,136,136,136,136,0,1.0,True
learning-agency-lab-automated-essay-scoring-2,deepseek,190,190,190,190,190,0,1.0,True
learning-agency-lab-automated-essay-scoring-2,gpt,189,190,190,190,189,1,0.9947368421052631,False
lmsys-chatbot-arena,deepseek,1220,1220,1220,1220,1220,0,1.0,True
lmsys-chatbot-arena,gpt,1218,1220,1220,1220,1218,2,0.9983606557377049,False
mlsp-2013-birds,deepseek,1221,1221,1221,1221,1221,0,1.0,True
mlsp-2013-birds,gpt,1221,1221,1221,1221,1221,0,1.0,True
new-york-city-taxi-fare-prediction,deepseek,429,429,429,429,429,0,1.0,True
new-york-city-taxi-fare-prediction,gpt,429,429,429,429,429,0,1.0,True
nomad2018-predict-transparent-conductors,deepseek,3,3,3,3,3,0,1.0,True
nomad2018-predict-transparent-conductors,gpt,3,3,3,3,3,0,1.0,True
petfinder-pawpularity-score,deepseek,239,239,239,239,239,0,1.0,True
petfinder-pawpularity-score,gpt,238,239,239,239,238,1,0.99581589958159,False
plant-pathology-2020-fgvc7,deepseek,15,15,15,15,15,0,1.0,True
plant-pathology-2020-fgvc7,gpt,15,15,15,15,15,0,1.0,True
predict-volcanic-eruptions-ingv-oe,deepseek,1213,1213,1213,1213,1213,0,1.0,True
predict-volcanic-eruptions-ingv-oe,gpt,1213,1213,1213,1213,1213,0,1.0,True
random-acts-of-pizza,deepseek,1225,1225,1225,1225,1225,0,1.0,True
random-acts-of-pizza,gpt,1224,1225,1225,1225,1224,1,0.9991836734693877,False
spooky-author-identification,deepseek,1220,1220,1220,1220,1220,0,1.0,True
spooky-author-identification,gpt,1220,1220,1220,1220,1220,0,1.0,True
stanford-covid-vaccine,deepseek,1222,1222,1222,1222,1222,0,1.0,True
stanford-covid-vaccine,gpt,1221,1222,1222,1222,1221,1,0.9991816693944353,False
statoil-iceberg-classifier-challenge,deepseek,1223,1223,1223,1223,1223,0,1.0,True
statoil-iceberg-classifier-challenge,gpt,1223,1223,1223,1223,1223,0,1.0,True
tabular-playground-series-dec-2021,deepseek,275,275,275,275,275,0,1.0,True
tabular-playground-series-dec-2021,gpt,275,275,275,275,275,0,1.0,True
tensorflow-speech-recognition-challenge,deepseek,1011,1011,1011,1011,1011,0,1.0,True
tensorflow-speech-recognition-challenge,gpt,1009,1011,1011,1011,1009,2,0.9980217606330366,False
tgs-salt-identification-challenge,deepseek,880,880,880,880,880,0,1.0,True
tgs-salt-identification-challenge,gpt,880,880,880,880,880,0,1.0,True
the-icml-2013-whale-challenge-right-whale-redux,deepseek,275,275,275,275,275,0,1.0,True
the-icml-2013-whale-challenge-right-whale-redux,gpt,275,275,275,275,275,0,1.0,True
tweet-sentiment-extraction,deepseek,210,210,210,210,210,0,1.0,True
tweet-sentiment-extraction,gpt,210,210,210,210,210,0,1.0,True
us-patent-phrase-to-phrase-matching,deepseek,1223,1223,1223,1223,1223,0,1.0,True
us-patent-phrase-to-phrase-matching,gpt,1223,1223,1223,1223,1223,0,1.0,True
ventilator-pressure-prediction,deepseek,1222,1222,1222,1222,1222,0,1.0,True
ventilator-pressure-prediction,gpt,1222,1222,1222,1222,1222,0,1.0,True
