task,merged_train_raw,merged_train_eligible,merged_test_raw,merged_test_eligible,draft_train_raw,draft_train_eligible,draft_test_raw,draft_test_eligible,improve_train_raw,improve_train_eligible,improve_test_raw,improve_test_eligible
aptos2019-blindness-detection,14,14,10,10,8,8,1,1,6,6,9,9
cassava-leaf-disease-classification,15,15,1,1,13,13,1,1,2,2,0,0
chaii-hindi-and-tamil-question-answering,189,189,42,42,102,102,11,11,87,87,31,31
denoising-dirty-documents,199,199,48,48,125,125,14,14,74,74,34,34
dog-breed-identification,502,462,60,60,358,318,25,25,144,144,35,35
dogs-vs-cats-redux-kernels-edition,157,122,24,21,106,71,9,6,51,51,15,15
facebook-recruiting-iii-keyword-extraction,28,28,8,8,13,13,1,1,15,15,7,7
google-quest-challenge,186,186,20,20,97,97,8,8,89,89,12,12
histopathologic-cancer-detection,27,27,6,6,10,10,3,3,17,17,3,3
kuzushiji-recognition,44,44,7,7,18,18,4,4,26,26,3,3
leaf-classification,431,405,105,100,226,200,23,18,205,205,82,82
learning-agency-lab-automated-essay-scoring-2,360,360,35,35,258,258,20,20,102,102,15,15
mlsp-2013-birds,422,422,88,88,228,228,25,25,194,194,63,63
new-york-city-taxi-fare-prediction,107,86,32,32,81,60,11,11,26,26,21,21
nomad2018-predict-transparent-conductors,329,253,48,48,158,82,26,26,171,171,22,22
petfinder-pawpularity-score,290,290,57,57,156,156,25,25,134,134,32,32
random-acts-of-pizza,137,137,15,15,88,88,7,7,49,49,8,8
ranzcr-clip-catheter-line-classification,209,209,26,26,185,185,12,12,24,24,14,14
spooky-author-identification,392,371,84,82,269,248,18,16,123,123,66,66
tabular-playground-series-dec-2021,208,208,16,16,152,152,6,6,56,56,10,10
tabular-playground-series-may-2022,274,188,56,48,195,109,26,18,79,79,30,30
text-normalization-challenge-english-language,111,68,26,19,89,46,15,8,22,22,11,11
text-normalization-challenge-russian-language,147,139,25,25,117,109,13,13,30,30,12,12
tgs-salt-identification-challenge,67,67,11,11,40,40,2,2,27,27,9,9
tweet-sentiment-extraction,77,77,9,5,46,46,9,5,31,31,0,0
us-patent-phrase-to-phrase-matching,265,265,39,39,168,168,10,10,97,97,29,29
ventilator-pressure-prediction,172,172,30,30,112,112,10,10,60,60,20,20
whale-categorization-playground,237,237,32,32,134,134,8,8,103,103,24,24
