task,op,train_parents,train_runs,frozen_parents,frozen_runs,extension_parents,extension_runs,eligible_primary
aptos2019-blindness-detection,Debug,6,2,2,1,1,1,False
aptos2019-blindness-detection,Draft,1,1,2,1,1,1,False
aptos2019-blindness-detection,Improve,26,2,14,1,9,1,False
chaii-hindi-and-tamil-question-answering,Debug,26,8,8,3,0,0,False
chaii-hindi-and-tamil-question-answering,Draft,11,6,0,0,0,0,False
chaii-hindi-and-tamil-question-answering,Improve,71,8,12,2,0,0,False
denoising-dirty-documents,Debug,23,15,7,4,0,0,False
denoising-dirty-documents,Draft,15,9,1,1,0,0,False
denoising-dirty-documents,Improve,43,15,6,5,0,0,False
dog-breed-identification,Debug,14,9,7,3,0,0,False
dog-breed-identification,Draft,3,3,3,3,0,0,False
dog-breed-identification,Improve,34,5,16,3,0,0,True
dogs-vs-cats-redux-kernels-edition,Debug,1,1,0,0,1,1,False
dogs-vs-cats-redux-kernels-edition,Draft,3,2,0,0,1,1,False
dogs-vs-cats-redux-kernels-edition,Improve,5,3,0,0,3,1,False
google-quest-challenge,Debug,16,8,5,2,0,0,False
google-quest-challenge,Draft,3,3,1,1,0,0,False
google-quest-challenge,Improve,26,9,7,3,0,0,False
histopathologic-cancer-detection,Debug,17,6,4,2,2,1,False
histopathologic-cancer-detection,Draft,2,2,2,2,1,1,False
histopathologic-cancer-detection,Improve,25,7,12,2,2,1,False
kuzushiji-recognition,Debug,5,3,3,2,0,0,False
kuzushiji-recognition,Improve,4,3,2,2,0,0,False
leaf-classification,Debug,48,18,23,5,4,2,True
leaf-classification,Draft,11,9,2,1,2,2,False
leaf-classification,Improve,74,9,60,3,13,2,True
learning-agency-lab-automated-essay-scoring-2,Debug,7,6,0,0,1,1,False
learning-agency-lab-automated-essay-scoring-2,Draft,8,6,3,2,0,0,False
learning-agency-lab-automated-essay-scoring-2,Improve,7,5,0,0,1,1,False
mlsp-2013-birds,Debug,63,20,21,6,0,0,True
mlsp-2013-birds,Draft,3,2,0,0,0,0,False
mlsp-2013-birds,Improve,17,10,8,4,0,0,False
nomad2018-predict-transparent-conductors,Debug,41,17,16,4,0,0,True
nomad2018-predict-transparent-conductors,Draft,3,3,0,0,0,0,False
nomad2018-predict-transparent-conductors,Improve,12,5,8,2,0,0,False
petfinder-pawpularity-score,Debug,44,22,16,8,0,0,True
petfinder-pawpularity-score,Draft,18,14,6,5,0,0,False
petfinder-pawpularity-score,Improve,136,20,16,8,0,0,True
random-acts-of-pizza,Debug,42,11,3,3,5,2,False
random-acts-of-pizza,Draft,16,11,1,1,3,3,False
random-acts-of-pizza,Improve,181,11,0,0,48,2,False
spaceship-titanic,Debug,5,5,0,0,0,0,False
spaceship-titanic,Draft,5,5,0,0,0,0,False
spaceship-titanic,Improve,1,1,0,0,0,0,False
spooky-author-identification,Debug,83,20,44,6,0,0,True
spooky-author-identification,Draft,10,9,1,1,0,0,False
spooky-author-identification,Improve,303,14,202,3,0,0,True
tabular-playground-series-dec-2021,Debug,13,10,2,2,0,0,False
tabular-playground-series-dec-2021,Draft,1,1,0,0,0,0,False
tabular-playground-series-dec-2021,Improve,7,5,1,1,0,0,False
tabular-playground-series-may-2022,Debug,20,13,9,7,2,1,False
tabular-playground-series-may-2022,Draft,8,8,7,5,0,0,False
tabular-playground-series-may-2022,Improve,12,5,0,0,1,1,False
text-normalization-challenge-english-language,Debug,4,2,3,2,0,0,False
text-normalization-challenge-english-language,Draft,2,2,0,0,0,0,False
text-normalization-challenge-english-language,Improve,10,2,6,2,0,0,False
text-normalization-challenge-russian-language,Debug,25,7,4,2,1,1,False
text-normalization-challenge-russian-language,Draft,4,4,2,2,0,0,False
text-normalization-challenge-russian-language,Improve,65,8,9,2,5,2,False
tweet-sentiment-extraction,Debug,12,3,4,2,0,0,False
tweet-sentiment-extraction,Draft,2,2,1,1,0,0,False
tweet-sentiment-extraction,Improve,25,3,29,2,0,0,False
us-patent-phrase-to-phrase-matching,Debug,66,10,4,1,1,1,False
us-patent-phrase-to-phrase-matching,Draft,1,1,1,1,0,0,False
us-patent-phrase-to-phrase-matching,Improve,269,8,15,1,0,0,False
whale-categorization-playground,Debug,25,11,32,2,1,1,False
whale-categorization-playground,Draft,3,3,2,2,0,0,False
whale-categorization-playground,Improve,42,8,131,2,0,0,False
