task,runs,cards,legal_parent_child_edges,closed_nodes,branch_points,closed_branch_points,deep_closed_branch_points,max_closed_depth_to_leaf
aerial-cactus-identification,1,1,0,1,0,0,0,0
aptos2019-blindness-detection,2,94,79,75,34,25,10,4
chaii-hindi-and-tamil-question-answering,16,658,457,531,128,44,16,6
denoising-dirty-documents,37,719,396,482,95,49,13,3
dog-breed-identification,27,405,218,279,77,36,9,4
google-quest-challenge,16,351,185,215,56,31,10,8
histopathologic-cancer-detection,8,201,143,145,57,37,9,3
kuzushiji-recognition,12,162,73,85,15,4,0,2
leaf-classification,27,881,613,719,196,81,32,6
learning-agency-lab-automated-essay-scoring-2,16,126,60,110,21,9,2,2
mlsp-2013-birds,28,1456,689,1086,112,9,2,12
nomad2018-predict-transparent-conductors,35,840,416,595,80,21,3,6
petfinder-pawpularity-score,48,1218,773,874,238,84,21,5
random-acts-of-pizza,22,478,289,387,93,34,5,6
spaceship-titanic,24,224,55,197,11,1,0,10
spooky-author-identification,56,2513,1908,2077,660,349,113,4
tabular-playground-series-dec-2021,77,550,124,432,22,13,5,3
tabular-playground-series-may-2022,79,712,213,608,50,9,2,17
text-normalization-challenge-english-language,12,185,94,126,29,17,3,2
text-normalization-challenge-russian-language,8,367,254,265,99,70,20,4
tweet-sentiment-extraction,11,277,194,197,74,45,14,3
us-patent-phrase-to-phrase-matching,12,1105,871,807,358,246,91,4
whale-categorization-playground,12,800,628,558,235,140,46,7
