task,policy,sets,runs,top1,artifact_coverage
chaii-hindi-and-tamil-question-answering,random,7,4,0.40476190476190477,0.14285714285714285
chaii-hindi-and-tamil-question-answering,full_external,7,4,1.0,0.14285714285714285
chaii-hindi-and-tamil-question-answering,full_self_report_available,7,4,0.5,0.14285714285714285
chaii-hindi-and-tamil-question-answering,full_self_report_complete,5,2,0.4,0.0
chaii-hindi-and-tamil-question-answering,sub120_available,7,4,0.47619047619047616,0.14285714285714285
chaii-hindi-and-tamil-question-answering,artifact120_escalate_silent,7,4,1.0,0.14285714285714285
denoising-dirty-documents,random,8,5,0.5,0.0
denoising-dirty-documents,full_external,8,5,1.0,0.0
denoising-dirty-documents,full_self_report_available,8,5,1.0,0.0
denoising-dirty-documents,full_self_report_complete,6,3,1.0,0.0
denoising-dirty-documents,sub120_available,8,5,0.5,0.0
denoising-dirty-documents,artifact120_escalate_silent,8,5,1.0,0.0
google-quest-challenge,random,7,2,0.5,0.14285714285714285
google-quest-challenge,full_external,7,2,1.0,0.14285714285714285
google-quest-challenge,full_self_report_available,7,2,0.7142857142857143,0.14285714285714285
google-quest-challenge,full_self_report_complete,5,2,0.6,0.0
google-quest-challenge,sub120_available,7,2,0.35714285714285715,0.14285714285714285
google-quest-challenge,artifact120_escalate_silent,7,2,1.0,0.14285714285714285
kuzushiji-recognition,random,4,2,0.5,0.0
kuzushiji-recognition,full_external,4,2,1.0,0.0
kuzushiji-recognition,full_self_report_available,4,2,1.0,0.0
kuzushiji-recognition,full_self_report_complete,4,2,1.0,0.0
kuzushiji-recognition,sub120_available,4,2,0.5,0.0
kuzushiji-recognition,artifact120_escalate_silent,4,2,1.0,0.0
leaf-classification,random,6,2,0.4722222222222222,0.9166666666666666
leaf-classification,full_external,6,2,1.0,0.9166666666666666
leaf-classification,full_self_report_available,6,2,0.5,0.9166666666666666
leaf-classification,full_self_report_complete,5,2,0.6,0.9
leaf-classification,sub120_available,6,2,1.0,0.9166666666666666
leaf-classification,artifact120_escalate_silent,6,2,1.0,0.9166666666666666
learning-agency-lab-automated-essay-scoring-2,random,6,3,0.4722222222222222,0.2777777777777778
learning-agency-lab-automated-essay-scoring-2,full_external,6,3,1.0,0.2777777777777778
learning-agency-lab-automated-essay-scoring-2,full_self_report_available,6,3,0.8333333333333334,0.2777777777777778
learning-agency-lab-automated-essay-scoring-2,full_self_report_complete,4,2,0.75,0.16666666666666666
learning-agency-lab-automated-essay-scoring-2,sub120_available,6,3,0.5,0.2777777777777778
learning-agency-lab-automated-essay-scoring-2,artifact120_escalate_silent,6,3,0.6666666666666666,0.2777777777777778
mlsp-2013-birds,random,6,3,0.35277777777777775,0.5944444444444444
mlsp-2013-birds,full_external,6,3,1.0,0.5944444444444444
mlsp-2013-birds,full_self_report_available,6,3,0.5,0.5944444444444444
mlsp-2013-birds,full_self_report_complete,6,3,0.5,0.5944444444444444
mlsp-2013-birds,sub120_available,6,3,0.2222222222222222,0.5944444444444444
mlsp-2013-birds,artifact120_escalate_silent,6,3,0.6666666666666666,0.5944444444444444
nomad2018-predict-transparent-conductors,random,6,2,0.5,0.6666666666666666
nomad2018-predict-transparent-conductors,full_external,6,2,1.0,0.6666666666666666
nomad2018-predict-transparent-conductors,full_self_report_available,6,2,1.0,0.6666666666666666
nomad2018-predict-transparent-conductors,full_self_report_complete,6,2,1.0,0.6666666666666666
nomad2018-predict-transparent-conductors,sub120_available,6,2,0.5833333333333334,0.6666666666666666
nomad2018-predict-transparent-conductors,artifact120_escalate_silent,6,2,1.0,0.6666666666666666
petfinder-pawpularity-score,random,4,3,0.5,0.5
petfinder-pawpularity-score,full_external,4,3,1.0,0.5
petfinder-pawpularity-score,full_self_report_available,4,3,0.75,0.5
