parent,run_id,task,stratum,n_children,n_artifacts,n_silent,artifact_coverage,policy,picked,picked_pool_n,top1_expected,raw_regret,rank_expected,observed_low_stage_wall_s,full_eval_count,historical_all_full_runtime_s,cost_restart_exact_s,cost_continue_exact_s,cost_ratio_restart_exact,cost_ratio_continue_exact
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,2,140.29999999999998,0,2803.019416332245,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79,1,1.0,0.0,1,140.29999999999998,3,2803.019416332245,2803.019416332245,2803.019416332245,1.0,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,1,0.0,0.0044600000000000195,2,140.29999999999998,3,2803.019416332245,2803.019416332245,2803.019416332245,1.0,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,1,0.0,0.0044600000000000195,2,140.29999999999998,3,2803.019416332245,2803.019416332245,2803.019416332245,1.0,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,2,140.29999999999998,0,2803.019416332245,140.29999999999998,140.29999999999998,0.050053167374624445,0.050053167374624445
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79,1,1.0,0.0,1,140.29999999999998,3,2803.019416332245,2943.319416332245,2583.319416332245,1.0500531673746245,0.9216202361211334
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,random,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,2,0.5,0.016945,1.5,240.2,0,10884.15703701973,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_external,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,1,240.2,2,10884.15703701973,10884.15703701973,10884.15703701973,1.0,1.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,2,0.5,0.016945,1.5,240.2,2,10884.15703701973,10884.15703701973,10884.15703701973,1.0,1.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,2,0.5,0.016945,1.5,240.2,0,10884.15703701973,240.2,240.2,0.022068773831819953,0.022068773831819953
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,1,240.2,2,10884.15703701973,11124.35703701973,10884.35703701973,1.02206877383182,1.0000183753320833
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,3,0.3333333333333333,0.04712666666666665,2,360.4,0,1355.3276376724243,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,360.4,3,1355.3276376724243,1355.3276376724243,1355.3276376724243,1.0,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,360.4,3,1355.3276376724243,1355.3276376724243,1355.3276376724243,1.0,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,360.4,3,1355.3276376724243,1355.3276376724243,1355.3276376724243,1.0,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,3,0.3333333333333333,0.04712666666666665,2,360.4,0,1355.3276376724243,360.4,360.4,0.265913562139804,0.265913562139804
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,360.4,3,1355.3276376724243,1715.7276376724244,1355.7276376724244,1.265913562139804,1.0002951315895003
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__4246a977cac14f43b5383deb5a257697|chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979|chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,3,0.3333333333333333,0.010610000000000008,2,136.4,0,6553.884172439575,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,1,1.0,0.0,1,136.4,3,6553.884172439575,6553.884172439575,6553.884172439575,1.0,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979,1,0.0,0.011849999999999916,2,136.4,3,6553.884172439575,6553.884172439575,6553.884172439575,1.0,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979,1,0.0,0.011849999999999916,2,136.4,3,6553.884172439575,6553.884172439575,6553.884172439575,1.0,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__4246a977cac14f43b5383deb5a257697|chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979|chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,3,0.3333333333333333,0.010610000000000008,2,136.4,0,6553.884172439575,136.4,136.4,0.0208120858427114,0.0208120858427114
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,1,1.0,0.0,1,136.4,3,6553.884172439575,6690.284172439575,6330.284172439575,1.0208120858427114,0.9658828270203059
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95|chaii-hindi-and-tamil-question-answering__a483163f252d42fc98190cbfa2abfacc|chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,3,0.3333333333333333,0.01686333333333334,2,175.8,0,1590.8876776695251,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95,1,1.0,0.0,1,175.8,3,1590.8876776695251,1590.8876776695251,1590.8876776695251,1.0,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,1,0.0,0.011009999999999964,2,175.8,3,1590.8876776695251,1590.8876776695251,1590.8876776695251,1.0,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,1,0.0,0.011009999999999964,2,175.8,3,1590.8876776695251,1590.8876776695251,1590.8876776695251,1.0,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95|chaii-hindi-and-tamil-question-answering__a483163f252d42fc98190cbfa2abfacc|chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,3,0.3333333333333333,0.01686333333333334,2,175.8,0,1590.8876776695251,175.8,175.8,0.11050434450377264,0.11050434450377264
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95,1,1.0,0.0,1,175.8,3,1590.8876776695251,1766.687677669525,1406.687677669525,1.1105043445037726,0.8842155844277877
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,2,0,1.0,random,chaii-hindi-and-tamil-question-answering__463ad7dc1f7b4afe96a64bcfaba5d002|chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,2,0.5,0.00369,1.5,81.3,0,130.7270479425788,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,2,0,1.0,full_external,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,1,1.0,0.0,1,81.3,2,130.7270479425788,130.7270479425788,130.7270479425788,1.0,1.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,2,0,1.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,1,1.0,0.0,1,81.3,2,130.7270479425788,130.7270479425788,130.7270479425788,1.0,1.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,2,0,1.0,sub120_available,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,1,1.0,0.0,1,81.3,0,130.7270479425788,81.3,81.3,0.6219064935644429,0.6219064935644429
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,2,0,1.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,1,1.0,0.0,1,81.3,0,130.7270479425788,81.3,81.3,0.6219064935644429,0.6219064935644429
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,random,chaii-hindi-and-tamil-question-answering__79675e23561e437885211692d32c5024|chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,2,0.5,0.0173350000000001,1.5,129.4,0,879.9492094516754,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_external,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,129.4,2,879.9492094516754,879.9492094516754,879.9492094516754,1.0,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,129.4,2,879.9492094516754,879.9492094516754,879.9492094516754,1.0,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,129.4,2,879.9492094516754,879.9492094516754,879.9492094516754,1.0,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__79675e23561e437885211692d32c5024|chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,2,0.5,0.0173350000000001,1.5,129.4,0,879.9492094516754,129.4,129.4,0.1470539419890306,0.1470539419890306
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,129.4,2,879.9492094516754,1009.3492094516754,769.3492094516754,1.1470539419890307,0.8743109274807822
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,random,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63|denoising-dirty-documents__823936b3bbff49418a2f507faded41af,2,0.5,0.032529999999999996,1.5,240.4,0,7910.258288726211,0.0,0.0,0.0,0.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,full_external,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63,1,1.0,0.0,1,240.4,2,7910.258288726211,7910.258288726211,7910.258288726211,1.0,1.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,full_self_report_available,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63,1,1.0,0.0,1,240.4,2,7910.258288726211,7910.258288726211,7910.258288726211,1.0,1.0
