task,model_family,pairs,exact_ties,nonfinite_score_pairs,nontie_pair_averages,task_accuracy,raw_hard_lt_1e-2_share,lowest_quartile_pairs,lowest_quartile_accuracy,highest_quartile_pairs,highest_quartile_accuracy,highest_minus_lowest,three_run_unanimous_rate,release_run_1_accuracy,release_run_2_accuracy,release_run_3_accuracy
aptos2019-blindness-detection,deepseek,1225,0,0,1225,0.5175510204081625,0.11591836734693878,306,0.5010893246187363,306,0.18300653594771252,-0.3180827886710238,0.7477551020408163,0.5216326530612245,0.516734693877551,0.5142857142857142
denoising-dirty-documents,deepseek,974,0,0,974,0.7604380561259407,0.0513347022587269,244,0.6434426229508198,243,0.828532235939643,0.1850896129888232,0.7484599589322382,0.7638603696098563,0.7638603696098563,0.7535934291581109
detecting-insults-in-social-commentary,deepseek,350,0,0,350,0.74,0.3942857142857143,87,0.6168582375478928,88,0.7348484848484849,0.11799024730059204,0.6857142857142857,0.74,0.7428571428571429,0.7371428571428571
dog-breed-identification,deepseek,3,0,0,3,0.7777777777777778,0.0,1,1.0,1,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
google-quest-challenge,deepseek,1224,0,49,1175,0.6496453900709215,0.10553191489361702,294,0.5657596371882085,293,0.6234357224118311,0.05767608522362255,0.6817021276595745,0.6374468085106383,0.6502127659574468,0.6612765957446809
jigsaw-toxic-comment-classification-challenge,deepseek,10,0,0,10,0.2333333333333333,0.6,2,0.16666666666666666,3,0.0,-0.16666666666666666,0.9,0.3,0.2,0.2
leaf-classification,deepseek,136,0,0,136,0.7475490196078433,0.022058823529411766,34,0.48039215686274506,34,0.9019607843137254,0.42156862745098034,0.8014705882352942,0.7426470588235294,0.75,0.75
learning-agency-lab-automated-essay-scoring-2,deepseek,190,0,0,190,0.6912280701754387,0.04736842105263158,47,0.6950354609929079,48,0.6597222222222222,-0.035313238770685706,0.6473684210526316,0.7315789473684211,0.6789473684210526,0.6631578947368421
lmsys-chatbot-arena,deepseek,1220,0,0,1220,0.6833333333333333,0.1721311475409836,305,0.5770491803278689,306,0.7450980392156861,0.16804885888781718,0.7254098360655737,0.6827868852459016,0.6877049180327869,0.6795081967213115
mlsp-2013-birds,deepseek,1221,0,0,1221,0.5814905814905806,0.08763308763308764,305,0.5278688524590163,306,0.6612200435729844,0.1333511911139681,0.6576576576576577,0.5921375921375921,0.5872235872235873,0.5651105651105651
new-york-city-taxi-fare-prediction,deepseek,429,0,0,429,0.4708624708624708,0.013986013986013986,106,0.5471698113207548,107,0.4890965732087227,-0.05807323811203213,0.7086247086247086,0.48484848484848486,0.4731934731934732,0.45454545454545453
nomad2018-predict-transparent-conductors,deepseek,3,0,0,3,1.0,1.0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0
petfinder-pawpularity-score,deepseek,239,0,0,239,0.43933054393305443,0.33472803347280333,80,0.004166666666666667,61,0.551912568306011,0.5477459016393443,0.9665271966527197,0.4309623430962343,0.4435146443514644,0.4435146443514644
plant-pathology-2020-fgvc7,deepseek,15,0,0,15,0.6,0.06666666666666667,4,0.3333333333333333,4,0.75,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.6666666666666666
predict-volcanic-eruptions-ingv-oe,deepseek,1213,0,0,1213,0.4916185765320147,0.0,302,0.618101545253863,305,0.4863387978142077,-0.13176274743965527,0.6347897774113768,0.4987633965375103,0.47815333882934874,0.49793899422918386
random-acts-of-pizza,deepseek,1225,0,0,1225,0.6024489795918366,0.17795918367346938,306,0.5021786492374729,306,0.710239651416122,0.2080610021786491,0.6840816326530612,0.5967346938775511,0.5975510204081632,0.6130612244897959
spooky-author-identification,deepseek,1220,0,0,1220,0.6601092896174864,0.03360655737704918,305,0.512568306010929,305,0.7759562841530054,0.2633879781420765,0.7360655737704918,0.6655737704918033,0.6663934426229509,0.648360655737705
stanford-covid-vaccine,deepseek,1222,0,0,1222,0.6478450627386804,0.09001636661211129,305,0.4568306010928962,305,0.6972677595628417,0.2404371584699455,0.7324058919803601,0.6399345335515548,0.6546644844517185,0.648936170212766
statoil-iceberg-classifier-challenge,deepseek,1223,0,0,1223,0.5949850095393842,0.0580539656582175,306,0.5163398692810457,306,0.7625272331154684,0.24618736383442275,0.6778413736713,0.6034341782502044,0.5846279640228945,0.5968928863450531
tabular-playground-series-dec-2021,deepseek,275,0,0,275,0.3866666666666667,0.7272727272727273,69,0.42995169082125595,69,0.6570048309178744,0.22705314009661848,0.8327272727272728,0.3890909090909091,0.3890909090909091,0.38181818181818183
tensorflow-speech-recognition-challenge,deepseek,1011,0,0,1011,0.5832509066930429,0.05934718100890208,249,0.5194109772423026,252,0.6071428571428569,0.08773187990055431,0.6389713155291791,0.5756676557863502,0.5806132542037586,0.5934718100890207
tgs-salt-identification-challenge,deepseek,880,0,0,880,0.5428030303030301,0.029545454545454545,222,0.45795795795795796,220,0.6560606060606065,0.1981026481026485,0.6306818181818182,0.5465909090909091,0.5352272727272728,0.5465909090909091
the-icml-2013-whale-challenge-right-whale-redux,deepseek,275,0,0,275,0.4800000000000002,0.05454545454545454,69,0.5748792270531401,69,0.4975845410628021,-0.07729468599033801,0.5636363636363636,0.4763636363636364,0.48363636363636364,0.48
tweet-sentiment-extraction,deepseek,210,0,0,210,0.45714285714285713,0.2571428571428571,52,0.46153846153846145,53,0.2578616352201258,-0.20367682631833567,0.5904761904761905,0.5,0.44285714285714284,0.42857142857142855
us-patent-phrase-to-phrase-matching,deepseek,1223,0,0,1223,0.7642409375851733,0.059689288634505316,306,0.5664488017429194,306,0.9477124183006532,0.3812636165577338,0.8053965658217498,0.7735077677841373,0.7620605069501226,0.7571545380212592
ventilator-pressure-prediction,deepseek,1222,0,0,1222,0.6704855428259683,0.012274959083469721,305,0.6000000000000001,306,0.7254901960784313,0.12549019607843126,0.7364975450081833,0.6669394435351882,0.6702127659574468,0.67430441898527
aptos2019-blindness-detection,gpt,1225,0,0,1225,0.48190476190476195,0.11591836734693878,306,0.5054466230936818,306,0.22875816993464057,-0.2766884531590412,0.8326530612244898,0.4873469387755102,0.4897959183673469,0.4685714285714286
denoising-dirty-documents,gpt,974,0,0,974,0.5376454483230664,0.0513347022587269,244,0.5901639344262297,243,0.30452674897119325,-0.28563718545503647,0.8234086242299795,0.5236139630390144,0.5472279260780287,0.5420944558521561
detecting-insults-in-social-commentary,gpt,350,0,0,350,0.6085714285714282,0.3942857142857143,87,0.5440613026819923,88,0.5909090909090909,0.046847788227098675,0.52,0.6314285714285715,0.5942857142857143,0.6
dog-breed-identification,gpt,3,0,0,3,0.6666666666666666,0.0,1,1.0,1,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
google-quest-challenge,gpt,1224,0,49,1175,0.6680851063829787,0.10553191489361702,294,0.6054421768707482,293,0.6336746302616609,0.028232453390912737,0.8697872340425532,0.6655319148936171,0.676595744680851,0.6621276595744681
jigsaw-toxic-comment-classification-challenge,gpt,10,0,0,10,0.16666666666666666,0.6,2,0.0,3,0.0,0.0,0.9,0.1,0.2,0.2
leaf-classification,gpt,136,0,0,136,0.7230392156862744,0.022058823529411766,34,0.43137254901960786,34,0.9019607843137255,0.47058823529411764,0.7794117647058824,0.7279411764705882,0.6985294117647058,0.7426470588235294
learning-agency-lab-automated-essay-scoring-2,gpt,189,0,0,189,0.7442680776014109,0.047619047619047616,47,0.7588652482269503,47,0.7872340425531915,0.028368794326241176,0.8888888888888888,0.7566137566137566,0.7421052631578947,0.7368421052631579
lmsys-chatbot-arena,gpt,1218,0,0,1218,0.5574712643678164,0.17077175697865354,304,0.5592105263157895,306,0.5446623093681918,-0.01454821694759767,0.8522167487684729,0.5533661740558292,0.5663934426229508,0.5540983606557377
mlsp-2013-birds,gpt,1221,0,0,1221,0.5481845481845483,0.08763308763308764,305,0.5202185792349726,306,0.6078431372549019,0.0876245580199293,0.7870597870597871,0.542997542997543,0.5487305487305487,0.5528255528255528
new-york-city-taxi-fare-prediction,gpt,429,0,0,429,0.5205905205905206,0.013986013986013986,106,0.4559748427672956,107,0.7102803738317756,0.25430553106447995,0.8834498834498834,0.5221445221445221,0.5128205128205128,0.5268065268065268
nomad2018-predict-transparent-conductors,gpt,3,0,0,3,1.0,1.0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0
petfinder-pawpularity-score,gpt,238,0,0,238,0.4677871148459384,0.33613445378151263,80,0.10833333333333332,60,0.55,0.4416666666666667,0.8697478991596639,0.4789915966386555,0.46443514644351463,0.4560669456066946
plant-pathology-2020-fgvc7,gpt,15,0,0,15,0.5111111111111111,0.06666666666666667,4,0.25,4,0.6666666666666666,0.41666666666666663,0.9333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333
predict-volcanic-eruptions-ingv-oe,gpt,1213,0,0,1213,0.50508381423468,0.0,302,0.6445916114790287,305,0.48415300546448076,-0.1604386060145479,0.8004946413849959,0.5020610057708161,0.5028854080791426,0.5103050288540808
random-acts-of-pizza,gpt,1224,0,0,1224,0.528867102396514,0.1781045751633987,306,0.4836601307189544,306,0.5544662309368191,0.07080610021786471,0.7491830065359477,0.5294117647058824,0.5346938775510204,0.5232653061224489
spooky-author-identification,gpt,1220,0,0,1220,0.6918032786885243,0.03360655737704918,305,0.5245901639344261,305,0.7726775956284153,0.24808743169398917,0.8795081967213115,0.7008196721311475,0.6967213114754098,0.6778688524590164
stanford-covid-vaccine,gpt,1221,0,0,1221,0.6830466830466825,0.09009009009009009,305,0.5191256830601092,306,0.7211328976034858,0.20200721454337656,0.8574938574938575,0.683046683046683,0.6865793780687398,0.6800327332242226
statoil-iceberg-classifier-challenge,gpt,1223,0,0,1223,0.6271463614063776,0.0580539656582175,306,0.48474945533769076,306,0.7167755991285402,0.2320261437908494,0.7792313982011447,0.6320523303352412,0.6238757154538022,0.6255110384300899
tabular-playground-series-dec-2021,gpt,275,0,0,275,0.4266666666666667,0.7272727272727273,69,0.497584541062802,69,0.6859903381642511,0.18840579710144917,0.8909090909090909,0.44,0.4254545454545455,0.41454545454545455
tensorflow-speech-recognition-challenge,gpt,1009,0,0,1009,0.5844070036339615,0.05946481665014866,249,0.5327978580990631,254,0.5813648293963251,0.04856697129726195,0.5857284440039643,0.5857284440039643,0.5875370919881305,0.579624134520277
tgs-salt-identification-challenge,gpt,880,0,0,880,0.5787878787878787,0.029545454545454545,222,0.623123123123123,220,0.6636363636363637,0.04051324051324068,0.8852272727272728,0.5818181818181818,0.5795454545454546,0.575
the-icml-2013-whale-challenge-right-whale-redux,gpt,275,0,0,275,0.47272727272727305,0.05454545454545454,69,0.5458937198067634,69,0.42995169082125617,-0.1159420289855072,0.5709090909090909,0.48,0.4763636363636364,0.4618181818181818
tweet-sentiment-extraction,gpt,210,0,0,210,0.44603174603174583,0.2571428571428571,52,0.5,53,0.3836477987421383,-0.11635220125786172,0.8285714285714286,0.44761904761904764,0.47619047619047616,0.4142857142857143
