stratum_type,stratum,parents,runs,source_children,finite_children,published_unique_edges,status_target_children,status_certified_invalid_children,unknown_status_children,unregistered_missing_slots,validity_dominance_edges,certified_relations,unresolved_relations,source_pair_capacity,parents_with_status_targets,parents_with_added_relations,published_coverage,certified_coverage,coverage_gain,lost_relation_recovery
overall,all,3252,440,9088,7760,5897,996,902,94,332,2079,7976,1779,9755,721,658,0.60451050743208612,0.81763198359815481,0.21312147616606869,0.53888024883359253
role,train,2293,333,6543,5499,4263,769,699,70,275,1633,5896,1448,7344,544,497,0.58047385620915037,0.80283224400871456,0.22235838779956427,0.53002271989613758
role,frozen,845,92,2295,2022,1498,216,192,24,57,424,1922,331,2253,166,150,0.66489125610297384,0.85308477585441633,0.18819351975144252,0.56158940397350998
role,extension,114,15,250,239,136,11,11,0,0,22,158,0,158,11,11,0.86075949367088611,1,0.13924050632911392,1
task,aptos2019-blindness-detection,64,4,128,128,64,0,0,0,0,0,64,0,64,0,0,1,1,0,
task,chaii-hindi-and-tamil-question-answering,141,15,498,400,416,80,80,0,18,198,614,71,685,65,65,0.60729927007299267,0.89635036496350362,0.28905109489051095,0.73605947955390338
task,denoising-dirty-documents,102,25,264,244,210,17,17,0,3,54,264,18,282,12,12,0.74468085106382975,0.93617021276595747,0.19148936170212766,0.75
task,dog-breed-identification,84,18,203,185,127,10,10,0,8,28,155,29,184,6,6,0.69021739130434778,0.84239130434782605,0.15217391304347827,0.49122807017543857
task,dogs-vs-cats-redux-kernels-edition,16,4,32,32,16,0,0,0,0,0,16,0,16,0,0,1,1,0,
task,google-quest-challenge,58,15,116,116,58,0,0,0,0,0,58,0,58,0,0,1,1,0,
task,histopathologic-cancer-detection,70,11,140,140,70,0,0,0,0,0,70,0,70,0,0,1,1,0,
task,kuzushiji-recognition,14,5,28,28,14,0,0,0,0,0,14,0,14,0,0,1,1,0,
task,leaf-classification,255,31,810,668,576,112,112,0,30,236,812,110,922,101,101,0.62472885032537961,0.88069414316702821,0.2559652928416486,0.68208092485549132
task,learning-agency-lab-automated-essay-scoring-2,37,16,104,86,61,12,2,10,6,4,65,32,97,12,2,0.62886597938144329,0.67010309278350511,0.041237113402061855,0.1111111111111111
task,mlsp-2013-birds,116,26,544,323,342,211,152,59,10,358,700,334,1034,101,70,0.33075435203094777,0.67698259187620891,0.34622823984526113,0.51734104046242779
task,nomad2018-predict-transparent-conductors,81,21,318,220,221,95,87,8,3,230,451,98,549,46,41,0.40255009107468126,0.82149362477231325,0.41894353369763204,0.70121951219512191
task,petfinder-pawpularity-score,255,42,752,637,512,92,84,8,23,174,686,98,784,80,72,0.65306122448979587,0.875,0.22193877551020408,0.63970588235294112
task,random-acts-of-pizza,327,31,859,762,553,59,59,0,38,128,681,124,805,52,52,0.68695652173913047,0.84596273291925461,0.15900621118012423,0.50793650793650791
task,spaceship-titanic,26,16,157,75,87,30,30,0,52,82,169,308,477,10,10,0.18238993710691823,0.35429769392033544,0.17190775681341719,0.21025641025641026
task,spooky-author-identification,670,40,2042,1792,1510,201,192,9,49,390,1900,232,2132,193,184,0.70825515947467166,0.89118198874296439,0.18292682926829268,0.62700964630225076
task,tabular-playground-series-dec-2021,29,21,78,60,33,8,8,0,10,16,49,29,78,8,8,0.42307692307692307,0.62820512820512819,0.20512820512820512,0.35555555555555557
task,tabular-playground-series-may-2022,90,49,376,229,208,67,67,0,80,177,385,288,673,34,34,0.30906389301634474,0.57206537890044573,0.26300148588410105,0.38064516129032255
task,text-normalization-challenge-english-language,26,4,52,52,26,0,0,0,0,0,26,0,26,0,0,1,1,0,
task,text-normalization-challenge-russian-language,117,12,234,234,117,0,0,0,0,0,117,0,117,0,0,1,1,0,
task,tweet-sentiment-extraction,74,6,150,148,74,2,2,0,0,4,78,1,79,1,1,0.93670886075949367,0.98734177215189878,0.050632911392405063,0.80000000000000004
task,us-patent-phrase-to-phrase-matching,357,13,714,714,357,0,0,0,0,0,357,0,357,0,0,1,1,0,
task,whale-categorization-playground,243,15,489,487,245,0,0,0,2,0,245,7,252,0,0,0.97222222222222221,0.97222222222222221,0,0
