task,train_parents,frozen_parents,train_runs,frozen_runs,eligible_run_robust,train_parent_equal_retention,frozen_parent_equal_retention,train_run_equal_retention,frozen_run_equal_retention
aptos2019-blindness-detection,34,19,2,1,False,1.0,1.0,1.0,1.0
chaii-hindi-and-tamil-question-answering,119,22,11,4,True,0.8207282913165269,0.7954545454545454,0.7398428591610409,0.6722222222222223
denoising-dirty-documents,86,16,19,6,True,0.953488372093023,1.0,0.9780701754385966,1.0
dog-breed-identification,56,28,13,5,True,0.9619047619047619,0.9380952380952381,0.9128205128205129,0.8966666666666667
histopathologic-cancer-detection,46,19,8,2,False,1.0,1.0,1.0,1.0
leaf-classification,147,88,24,5,True,0.8383219954648529,0.8386363636363634,0.7470979532163743,0.7009150326797385
mlsp-2013-birds,86,30,20,6,True,0.585271317829457,0.6444444444444444,0.5948611111111111,0.6107142857142857
nomad2018-predict-transparent-conductors,57,24,17,4,True,0.6631578947368421,0.9833333333333334,0.6139011968423732,0.9
petfinder-pawpularity-score,212,43,32,10,True,0.8814465408805023,0.8015503875968994,0.8430542842719568,0.8
spooky-author-identification,419,251,32,8,True,0.8625298329355617,0.9252324037184588,0.6951746045017596,0.7552287581699347
tabular-playground-series-may-2022,64,23,36,12,True,0.6643229166666665,0.6376811594202898,0.5717592592592593,0.5938888888888889
text-normalization-challenge-russian-language,96,15,8,2,False,1.0,1.0,1.0,1.0
tweet-sentiment-extraction,40,34,3,3,False,1.0,0.9852941176470589,1.0,0.8333333333333334
us-patent-phrase-to-phrase-matching,336,20,10,2,False,1.0,1.0,1.0,1.0
whale-categorization-playground,74,167,12,2,False,0.9945945945945945,1.0,0.9666666666666667,1.0
